batch_id,machine_id,plant_id,start_time,end_time,units_produced,units_defective,defect_rate,product_line,shift,batch_status
BCH-0000077,MCH-0120,PLT-07,2023-07-14 23:03:06,2023-07-15 07:03:06,1020,51,0.0504,Sensor,Morning,Passed
BCH-0000078,MCH-0175,PLT-05,2024-06-20 02:23:49,2024-06-20 22:23:49,971,54,0.056,HMI,Afternoon,Passed
BCH-0000079,MCH-0125,PLT-09,2022-03-29 12:17:49,2022-03-29 19:17:49,865,114,0.1327,Drive,Night,Failed
BCH-0000080,MCH-0068,PLT-09,2023-10-31 04:21:11,2023-10-31 19:21:11,1879,78,0.0417,Relay,Morning,Passed
BCH-0000081,MCH-0471,PLT-04,2024-03-05 20:53:17,2024-03-06 07:53:17,1158,143,0.1242,HMI,Night,Passed
BCH-0000082,MCH-0070,PLT-07,2023-12-30 07:14:28,2023-12-30 20:14:28,928,253,0.273,HMI,Morning,Passed
BCH-0000083,MCH-0055,PLT-03,2023-06-14 19:29:02,2023-06-15 11:29:02,646,13,0.0207,PLC,Night,Under Review
BCH-0000084,MCH-0365,PLT-05,2022-03-09 11:02:34,2022-03-10 09:02:34,1692,112,0.0667,Drive,Morning,Passed
BCH-0000085,MCH-0016,PLT-09,2022-06-01 11:46:29,2022-06-02 08:46:29,1095,65,0.0594,PLC,Morning,Passed
BCH-0000086,MCH-0289,PLT-02,2023-09-18 21:06:01,2023-09-19 08:06:01,339,37,0.1105,Sensor,Afternoon,Passed
BCH-0000087,MCH-0140,PLT-08,2022-09-18 23:39:02,2022-09-19 06:39:02,1557,238,0.1534,Drive,Morning,Failed
BCH-0000088,MCH-0175,PLT-02,2024-11-28 09:34:10,2024-11-28 10:34:10,1524,304,0.1997,Relay,Night,Passed
BCH-0000089,MCH-0201,PLT-10,2024-08-10 23:51:46,2024-08-11 10:51:46,1256,64,0.0514,Relay,Morning,Passed
BCH-0000090,MCH-0024,PLT-02,2022-07-05 03:11:47,2022-07-05 11:11:47,1692,194,0.1152,Relay,Morning,Passed
BCH-0000091,MCH-0260,PLT-04,2023-07-15 18:30:57,2023-07-15 23:30:57,1319,151,0.1146,PLC,Afternoon,Passed
BCH-0000092,MCH-0249,PLT-09,2023-01-23 20:47:57,2023-01-24 06:47:57,1935,133,0.0691,HMI,Morning,Passed
BCH-0000093,MCH-0284,PLT-08,2023-04-15 04:10:03,2023-04-15 16:10:03,312,56,0.1806,Sensor,Morning,Passed
BCH-0000094,MCH-0310,PLT-05,2024-07-19 22:16:57,2024-07-20 21:16:57,730,46,0.0639,Drive,Afternoon,Passed
BCH-0000095,MCH-0352,PLT-03,2023-04-01 15:46:41,2023-04-02 13:46:41,1529,118,0.0776,HMI,Afternoon,Failed
BCH-0000096,MCH-0436,PLT-06,2022-05-20 20:47:09,2022-05-21 13:47:09,336,11,0.0355,Drive,Night,Passed
BCH-0000097,MCH-0400,PLT-02,2024-03-14 03:37:23,2024-03-14 08:37:23,135,23,0.1717,HMI,Night,Passed
BCH-0000098,MCH-0169,PLT-08,2024-09-04 09:59:51,2024-09-05 05:59:51,629,42,0.0678,PLC,Morning,Under Review
BCH-0000099,MCH-0193,PLT-07,2022-02-28 15:03:41,2022-03-01 07:03:41,642,101,0.158,Relay,Afternoon,Failed
BCH-0000100,MCH-0382,PLT-03,2023-01-07 02:10:07,2023-01-08 00:10:07,1870,70,0.0375,Sensor,Night,Passed
BCH-0000101,MCH-0456,PLT-05,2022-05-01 08:50:59,2022-05-01 09:50:59,1228,99,0.0814,Drive,Afternoon,Failed
BCH-0000102,MCH-0114,PLT-04,2023-06-09 11:11:08,2023-06-09 18:11:08,440,45,0.1032,Relay,Night,Failed
BCH-0000103,MCH-0142,PLT-09,2023-03-27 04:12:10,2023-03-27 07:12:10,122,6,0.0553,PLC,Afternoon,Passed
BCH-0000104,MCH-0076,PLT-04,2024-10-01 20:07:29,2024-10-02 19:07:29,615,86,0.1406,Sensor,Night,Passed
BCH-0000105,MCH-0225,PLT-05,2024-02-24 12:57:48,2024-02-25 05:57:48,1233,70,0.0573,Sensor,Morning,Passed
BCH-0000106,MCH-0213,PLT-06,2024-03-07 21:29:42,2024-03-08 02:29:42,282,45,0.1618,Sensor,Night,Passed
BCH-0000107,MCH-0158,PLT-01,2024-11-01 13:06:34,2024-11-02 12:06:34,1331,293,0.2202,PLC,Afternoon,Passed
BCH-0000108,MCH-0092,PLT-06,2024-02-09 15:10:27,2024-02-10 07:10:27,1168,46,0.0397,Drive,Morning,Passed
BCH-0000109,MCH-0028,PLT-05,2022-07-28 11:42:01,2022-07-29 02:42:01,475,52,0.1095,Sensor,Afternoon,Passed
BCH-0000110,MCH-0189,PLT-04,2023-07-10 23:21:56,2023-07-11 07:21:56,693,42,0.062,Sensor,Night,Passed
BCH-0000111,MCH-0151,PLT-05,2023-01-12 19:45:26,2023-01-13 17:45:26,898,95,0.1064,HMI,Afternoon,Passed
BCH-0000112,MCH-0496,PLT-09,2023-01-01 17:53:14,2023-01-01 18:53:14,1394,114,0.0819,Drive,Night,Under Review
BCH-0000113,MCH-0231,PLT-07,2022-10-14 19:25:44,2022-10-15 00:25:44,1746,153,0.0881,Drive,Afternoon,Passed
BCH-0000114,MCH-0390,PLT-03,2022-06-08 17:25:14,2022-06-08 20:25:14,256,43,0.1693,Relay,Night,Passed
BCH-0000115,MCH-0117,PLT-03,2022-03-26 20:42:27,2022-03-27 15:42:27,1965,89,0.0455,Drive,Morning,Passed
BCH-0000116,MCH-0111,PLT-03,2022-12-14 00:42:16,2022-12-14 16:42:16,1710,111,0.0653,Sensor,Afternoon,Failed
BCH-0000117,MCH-0206,PLT-03,2024-09-02 11:51:26,2024-09-02 22:51:26,1017,36,0.0363,PLC,Night,Passed
BCH-0000118,MCH-0111,PLT-06,2022-06-22 03:58:42,2022-06-23 02:58:42,1168,40,0.035,PLC,Afternoon,Passed
BCH-0000119,MCH-0158,PLT-04,2024-09-03 01:32:18,2024-09-03 09:32:18,1416,158,0.1116,PLC,Night,Under Review
BCH-0000120,MCH-0473,PLT-10,2024-09-21 21:19:09,2024-09-22 01:19:09,1080,80,0.0747,Relay,Afternoon,Passed
BCH-0000121,MCH-0278,PLT-02,2022-03-04 01:21:41,2022-03-04 16:21:41,1984,56,0.0283,PLC,Night,Passed
BCH-0000122,MCH-0393,PLT-07,2024-12-16 08:15:47,2024-12-16 14:15:47,833,289,0.3479,Drive,Night,Under Review
BCH-0000123,MCH-0087,PLT-05,2023-10-04 14:56:53,2023-10-05 06:56:53,1563,287,0.1837,Sensor,Afternoon,Passed
BCH-0000124,MCH-0029,PLT-09,2024-02-05 19:15:49,2024-02-06 03:15:49,455,48,0.1055,PLC,Morning,Passed
BCH-0000125,MCH-0314,PLT-07,2024-01-02 16:44:27,2024-01-03 03:44:27,781,123,0.1584,HMI,Night,Under Review
BCH-0000126,MCH-0284,PLT-02,2023-11-06 10:36:39,2023-11-06 13:36:39,417,47,0.1137,Sensor,Night,Passed
BCH-0000127,MCH-0095,PLT-09,2023-06-10 04:53:20,2023-06-11 01:53:20,504,21,0.0428,HMI,Afternoon,Passed
BCH-0000128,MCH-0163,PLT-08,2024-03-27 05:30:47,2024-03-27 20:30:47,459,18,0.0408,Sensor,Afternoon,Failed
BCH-0000129,MCH-0073,PLT-10,2022-04-05 04:09:31,2022-04-05 22:09:31,641,38,0.0603,Relay,Morning,Failed
BCH-0000130,MCH-0253,PLT-02,2022-06-29 07:30:24,2022-06-29 20:30:24,676,94,0.1393,Relay,Night,Passed
BCH-0000131,MCH-0239,PLT-02,2022-09-03 09:22:47,2022-09-03 14:22:47,716,184,0.2582,Drive,Afternoon,Passed
BCH-0000132,MCH-0249,PLT-05,2022-07-04 09:21:08,2022-07-05 07:21:08,1745,77,0.0446,HMI,Night,Failed
BCH-0000133,MCH-0434,PLT-03,2024-02-18 19:07:36,2024-02-18 23:07:36,337,27,0.0827,Relay,Night,Passed
BCH-0000134,MCH-0456,PLT-04,2024-02-15 02:35:22,2024-02-15 15:35:22,839,30,0.0361,Drive,Morning,Passed
BCH-0000135,MCH-0129,PLT-03,2024-10-21 22:51:08,2024-10-22 03:51:08,562,45,0.0805,PLC,Night,Failed
BCH-0000136,MCH-0483,PLT-07,2022-10-10 20:53:25,2022-10-11 13:53:25,1142,85,0.0745,PLC,Morning,Failed
BCH-0000137,MCH-0345,PLT-08,2024-05-08 19:05:14,2024-05-08 22:05:14,83,3,0.0378,Sensor,Afternoon,Passed
BCH-0000138,MCH-0469,PLT-01,2024-03-22 03:49:53,2024-03-22 19:49:53,1165,119,0.1025,Relay,Night,Passed
BCH-0000139,MCH-0346,PLT-05,2022-05-27 04:20:33,2022-05-28 00:20:33,1857,99,0.0538,Drive,Night,Passed
BCH-0000140,MCH-0137,PLT-02,2024-07-28 14:41:58,2024-07-29 08:41:58,1143,77,0.0677,HMI,Night,Failed
BCH-0000141,MCH-0197,PLT-08,2024-08-09 11:04:19,2024-08-09 15:04:19,402,15,0.0375,HMI,Afternoon,Passed
BCH-0000142,MCH-0038,PLT-01,2023-04-10 16:13:57,2023-04-11 07:13:57,1714,250,0.1462,PLC,Night,Passed
BCH-0000143,MCH-0218,PLT-03,2022-08-15 22:08:39,2022-08-16 03:08:39,1039,120,0.1159,PLC,Morning,Passed
BCH-0000144,MCH-0077,PLT-05,2024-03-07 09:53:55,2024-03-07 20:53:55,459,37,0.0821,Relay,Morning,Under Review
BCH-0000145,MCH-0254,PLT-04,2022-05-02 08:52:02,2022-05-02 14:52:02,557,107,0.1932,Drive,Night,Passed
BCH-0000146,MCH-0102,PLT-08,2023-11-30 17:56:50,2023-12-01 04:56:50,1871,188,0.1009,Sensor,Afternoon,Passed
BCH-0000147,MCH-0431,PLT-01,2023-03-04 13:09:37,2023-03-05 11:09:37,245,27,0.1126,HMI,Morning,Passed
BCH-0000148,MCH-0049,PLT-10,2022-09-19 20:13:33,2022-09-20 17:13:33,478,17,0.037,Drive,Morning,Passed
BCH-0000149,MCH-0254,PLT-05,2024-03-25 00:15:24,2024-03-25 04:15:24,1650,85,0.0521,Sensor,Night,Passed
BCH-0000150,MCH-0160,PLT-04,2023-02-23 08:58:52,2023-02-24 06:58:52,352,45,0.1292,HMI,Night,Passed
BCH-0000151,MCH-0341,PLT-10,2023-12-18 15:42:14,2023-12-18 18:42:14,590,78,0.133,Drive,Morning,Failed
BCH-0000152,MCH-0187,PLT-05,2023-10-04 12:54:42,2023-10-04 21:54:42,856,40,0.0472,Sensor,Afternoon,Under Review
BCH-0000153,MCH-0476,PLT-02,2022-11-04 07:50:55,2022-11-04 18:50:55,96,14,0.1462,Relay,Night,Passed
BCH-0000154,MCH-0090,PLT-03,2023-03-14 13:54:44,2023-03-15 04:54:44,1318,103,0.0784,HMI,Morning,Under Review
BCH-0000155,MCH-0198,PLT-10,2023-06-27 07:48:26,2023-06-27 22:48:26,493,37,0.0752,Sensor,Afternoon,Passed
BCH-0000156,MCH-0021,PLT-05,2022-06-19 22:03:40,2022-06-20 13:03:40,1859,281,0.1514,Sensor,Morning,Passed
BCH-0000157,MCH-0168,PLT-03,2024-07-29 07:04:40,2024-07-29 18:04:40,1543,77,0.0503,Relay,Morning,Passed
BCH-0000158,MCH-0458,PLT-05,2022-03-30 09:05:39,2022-03-30 17:05:39,899,56,0.0624,Drive,Night,Passed
BCH-0000159,MCH-0357,PLT-03,2024-11-01 18:15:00,2024-11-02 14:15:00,312,17,0.0548,Drive,Night,Passed
BCH-0000160,MCH-0039,PLT-08,2022-03-16 06:31:25,2022-03-17 01:31:25,554,47,0.0858,PLC,Afternoon,Passed
BCH-0000161,MCH-0087,PLT-06,2022-12-01 21:31:58,2022-12-02 11:31:58,905,36,0.0398,PLC,Morning,Under Review
BCH-0000162,MCH-0299,PLT-10,2023-06-24 00:29:08,2023-06-24 03:29:08,1273,57,0.045,PLC,Night,Passed
BCH-0000163,MCH-0085,PLT-06,2023-04-18 16:12:47,2023-04-19 12:12:47,1841,73,0.0398,Drive,Night,Passed
BCH-0000164,MCH-0451,PLT-04,2024-10-15 06:05:24,2024-10-15 07:05:24,1180,168,0.1432,PLC,Night,Passed
BCH-0000165,MCH-0105,PLT-01,2022-11-10 22:02:57,2022-11-11 14:02:57,275,33,0.1203,Sensor,Afternoon,Passed
BCH-0000166,MCH-0230,PLT-04,2024-12-21 11:34:46,2024-12-21 22:34:46,897,70,0.0788,HMI,Night,Passed
BCH-0000167,MCH-0134,PLT-05,2024-11-09 18:19:55,2024-11-10 16:19:55,893,107,0.1201,PLC,Afternoon,Failed
BCH-0000168,MCH-0392,PLT-02,2023-10-25 09:11:04,2023-10-25 11:11:04,183,31,0.1739,Drive,Morning,Passed
BCH-0000169,MCH-0327,PLT-06,2024-02-17 05:31:12,2024-02-17 23:31:12,428,41,0.0968,Drive,Night,Passed
BCH-0000170,MCH-0163,PLT-06,2022-07-23 04:59:31,2022-07-23 20:59:31,1370,80,0.059,Sensor,Morning,Under Review
BCH-0000171,MCH-0393,PLT-07,2023-11-15 07:38:39,2023-11-16 02:38:39,1925,517,0.2686,Relay,Afternoon,Passed
BCH-0000172,MCH-0059,PLT-07,2022-08-04 10:54:49,2022-08-04 19:54:49,51,3,0.0605,PLC,Morning,Passed
BCH-0000173,MCH-0382,PLT-07,2022-07-01 04:14:03,2022-07-02 01:14:03,255,13,0.0515,Sensor,Night,Failed
BCH-0000174,MCH-0010,PLT-09,2022-12-16 06:17:23,2022-12-16 19:17:23,1596,145,0.0912,PLC,Morning,Under Review
BCH-0000175,MCH-0066,PLT-03,2024-02-13 18:14:04,2024-02-14 11:14:04,1512,103,0.0682,Relay,Afternoon,Passed
BCH-0000176,MCH-0030,PLT-01,2022-12-02 05:03:42,2022-12-02 06:03:42,697,37,0.0541,Sensor,Night,Passed
BCH-0000177,MCH-0391,PLT-09,2022-05-28 19:08:36,2022-05-29 05:08:36,1831,11,0.0061,Relay,Morning,Passed
BCH-0000178,MCH-0329,PLT-08,2024-07-16 20:44:19,2024-07-17 07:44:19,1921,341,0.1778,Relay,Night,Failed
BCH-0000179,MCH-0009,PLT-05,2022-12-05 21:10:41,2022-12-06 12:10:41,526,19,0.0371,PLC,Night,Passed
BCH-0000180,MCH-0369,PLT-07,2023-10-03 07:10:03,2023-10-03 11:10:03,1344,96,0.0718,Drive,Morning,Passed
BCH-0000181,MCH-0369,PLT-04,2023-10-20 00:34:51,2023-10-20 18:34:51,54,6,0.122,Relay,Afternoon,Under Review
BCH-0000182,MCH-0410,PLT-08,2022-01-11 11:50:05,2022-01-12 00:50:05,1460,71,0.0488,Sensor,Night,Under Review
BCH-0000183,MCH-0024,PLT-10,2024-02-14 21:07:42,2024-02-15 08:07:42,120,3,0.0291,Relay,Night,Failed
BCH-0000184,MCH-0069,PLT-10,2024-09-21 13:58:13,2024-09-21 18:58:13,163,9,0.0587,HMI,Afternoon,Under Review
BCH-0000185,MCH-0368,PLT-05,2024-07-23 13:18:34,2024-07-24 06:18:34,1560,335,0.2151,PLC,Morning,Passed
BCH-0000186,MCH-0106,PLT-08,2024-02-06 13:54:31,2024-02-06 20:54:31,1900,18,0.0098,PLC,Afternoon,Passed
BCH-0000187,MCH-0232,PLT-02,2022-09-20 22:46:01,2022-09-21 02:46:01,1759,231,0.1317,Sensor,Afternoon,Passed
BCH-0000188,MCH-0219,PLT-01,2024-03-17 22:19:07,2024-03-18 20:19:07,340,13,0.0394,Relay,Night,Passed
BCH-0000189,MCH-0433,PLT-04,2023-11-07 03:13:30,2023-11-07 17:13:30,177,20,0.1158,Sensor,Night,Passed
BCH-0000190,MCH-0467,PLT-07,2024-01-05 02:49:43,2024-01-05 05:49:43,459,16,0.0364,Sensor,Afternoon,Failed
BCH-0000191,MCH-0109,PLT-06,2023-12-21 06:20:14,2023-12-22 02:20:14,1774,43,0.0246,Relay,Afternoon,Passed
BCH-0000192,MCH-0491,PLT-03,2022-07-30 23:59:14,2022-07-31 19:59:14,458,23,0.0507,HMI,Night,Under Review
BCH-0000193,MCH-0478,PLT-07,2022-06-22 23:11:53,2022-06-23 11:11:53,1892,1,0.0008,Sensor,Night,Passed
BCH-0000194,MCH-0427,PLT-02,2022-04-22 00:53:16,2022-04-22 17:53:16,1597,36,0.023,PLC,Night,Under Review
BCH-0000195,MCH-0451,PLT-10,2024-12-22 05:28:37,2024-12-22 10:28:37,1469,187,0.1278,PLC,Night,Passed
BCH-0000196,MCH-0051,PLT-09,2022-03-19 20:59:31,2022-03-20 14:59:31,903,78,0.0866,Drive,Night,Passed
BCH-0000197,MCH-0291,PLT-07,2023-10-09 22:27:26,2023-10-10 09:27:26,1527,133,0.0872,Relay,Night,Passed
BCH-0000198,MCH-0056,PLT-10,2023-12-15 07:21:17,2023-12-15 17:21:17,984,168,0.1709,PLC,Morning,Failed
BCH-0000199,MCH-0110,PLT-07,2024-04-27 19:15:28,2024-04-27 23:15:28,337,55,0.1661,HMI,Afternoon,Passed
BCH-0000200,MCH-0276,PLT-09,2022-10-31 04:46:27,2022-10-31 18:46:27,1735,161,0.0933,PLC,Afternoon,Under Review
BCH-0000201,MCH-0293,PLT-05,2022-08-19 04:52:55,2022-08-19 07:52:55,260,37,0.144,Sensor,Night,Passed
