part_id,supplier_id,machine_id,part_name,stock_qty,unit_cost_usd,last_restocked,reorder_threshold,warehouse_location,lead_time_days
PRT-0000074,SUP-004,MCH-0052,Drive Belt,381,636.92,2024-07-27,92,WH-04,24
PRT-0000075,SUP-015,MCH-0356,Servo Motor,24,411.41,2021-05-06,62,WH-01,41
PRT-0000076,SUP-004,MCH-0493,Control Board,242,255.4,2023-09-06,77,WH-04,19
PRT-0000077,SUP-026,MCH-0240,Servo Motor,358,1385.2,2023-09-03,44,WH-03,18
PRT-0000078,SUP-042,MCH-0093,Bearing Assembly,87,758.66,2024-02-12,71,WH-01,26
PRT-0000079,SUP-045,MCH-0161,Power Supply Unit,342,344.85,2021-06-23,96,WH-01,21
PRT-0000080,SUP-038,MCH-0132,Proximity Sensor,474,2361.26,2024-10-20,79,WH-01,23
PRT-0000081,SUP-024,MCH-0203,Proximity Sensor,184,739.85,2021-12-28,79,WH-04,13
PRT-0000082,SUP-037,MCH-0377,Encoder Disc,136,900.21,2023-03-17,42,WH-03,31
PRT-0000083,SUP-035,MCH-0432,Coolant Pump,113,2125.03,2023-12-05,49,WH-04,3
PRT-0000084,SUP-044,MCH-0422,Control Board,465,1303.36,2024-06-25,60,WH-03,7
PRT-0000085,SUP-001,MCH-0158,Proximity Sensor,309,470.92,2021-04-10,66,WH-02,25
PRT-0000086,SUP-019,MCH-0152,Servo Motor,289,700.47,2023-02-27,82,WH-02,26
PRT-0000087,SUP-023,MCH-0131,Safety Relay,354,1914.31,2021-08-29,42,WH-01,22
PRT-0000088,SUP-037,MCH-0076,Coolant Pump,181,814.75,2021-05-13,37,WH-03,25
PRT-0000089,SUP-019,MCH-0043,Proximity Sensor,341,1622.49,2024-06-16,83,WH-02,13
PRT-0000090,SUP-015,MCH-0071,Bearing Assembly,328,392.96,2021-06-24,38,WH-02,5
PRT-0000091,SUP-005,MCH-0040,Bearing Assembly,70,2477.68,2022-07-17,67,WH-02,18
PRT-0000092,SUP-011,MCH-0105,Bearing Assembly,157,447.58,2024-02-22,59,WH-01,8
PRT-0000093,SUP-022,MCH-0393,Control Board,258,99.23,2021-01-11,48,WH-04,1
PRT-0000094,SUP-003,MCH-0276,Coolant Pump,38,2178.28,2022-03-29,87,WH-04,36
PRT-0000095,SUP-040,MCH-0260,Power Supply Unit,203,2497.91,2023-11-04,32,WH-03,21
PRT-0000096,SUP-011,MCH-0319,Bearing Assembly,158,771.35,2022-06-08,47,WH-03,31
PRT-0000097,SUP-031,MCH-0467,Coolant Pump,343,1619.61,2024-08-03,63,WH-04,26
PRT-0000098,SUP-022,MCH-0034,Control Board,396,319.68,2024-01-19,31,WH-02,41
PRT-0000099,SUP-013,MCH-0163,Power Supply Unit,207,1153.73,2023-09-07,75,WH-02,7
PRT-0000100,SUP-002,MCH-0120,Bearing Assembly,228,2145.11,2024-04-14,30,WH-03,5
PRT-0000101,SUP-012,MCH-0234,Safety Relay,309,2464.09,2021-11-22,69,WH-02,2
PRT-0000102,SUP-032,MCH-0161,Drive Belt,490,2023.46,2023-01-09,84,WH-03,2
PRT-0000103,SUP-032,MCH-0267,Control Board,334,2187.43,2022-07-14,68,WH-02,43
PRT-0000104,SUP-016,MCH-0014,Encoder Disc,25,166.18,2024-07-17,69,WH-03,1
PRT-0000105,SUP-033,MCH-0191,Safety Relay,329,941.94,2023-05-29,22,WH-04,1
PRT-0000106,SUP-029,MCH-0001,Coolant Pump,358,643.57,2023-02-19,76,WH-04,37
PRT-0000107,SUP-013,MCH-0219,Safety Relay,52,1514.34,2022-11-20,31,WH-03,25
PRT-0000108,SUP-004,MCH-0433,Safety Relay,96,735.99,2022-01-20,44,WH-01,36
PRT-0000109,SUP-017,MCH-0450,Drive Belt,372,1381.81,2023-09-16,33,WH-04,25
PRT-0000110,SUP-015,MCH-0096,Coolant Pump,356,384.22,2021-03-09,17,WH-03,27
PRT-0000111,SUP-036,MCH-0219,Bearing Assembly,248,1791.95,2024-05-16,96,WH-04,22
PRT-0000112,SUP-005,MCH-0044,Drive Belt,414,2076.8,2024-02-29,45,WH-03,29
PRT-0000113,SUP-026,MCH-0150,Bearing Assembly,34,1761.36,2023-03-18,48,WH-04,44
PRT-0000114,SUP-028,MCH-0232,Encoder Disc,279,1782.28,2021-01-22,70,WH-03,21
PRT-0000115,SUP-006,MCH-0257,Drive Belt,467,713.4,2021-12-19,98,WH-01,27
PRT-0000116,SUP-030,MCH-0254,Bearing Assembly,290,1174.17,2024-02-12,99,WH-02,2
PRT-0000117,SUP-031,MCH-0233,Bearing Assembly,462,2145.39,2021-10-24,14,WH-02,12
PRT-0000118,SUP-032,MCH-0386,Hydraulic Seal,225,2246.13,2023-05-11,29,WH-02,3
PRT-0000119,SUP-042,MCH-0354,Control Board,456,1816.6,2022-05-25,77,WH-03,19
PRT-0000120,SUP-005,MCH-0069,Safety Relay,157,873.62,2024-04-09,40,WH-02,15
PRT-0000121,SUP-044,MCH-0003,Coolant Pump,313,1080.83,2021-10-23,45,WH-04,2
PRT-0000122,SUP-029,MCH-0012,Servo Motor,314,1632.06,2024-06-23,96,WH-03,7
PRT-0000123,SUP-013,MCH-0086,Drive Belt,342,1582.44,2023-12-10,96,WH-04,34
PRT-0000124,SUP-013,MCH-0219,Safety Relay,176,2000.53,2024-10-02,33,WH-02,30
PRT-0000125,SUP-017,MCH-0333,Proximity Sensor,152,539.74,2022-07-25,51,WH-02,34
PRT-0000126,SUP-046,MCH-0499,Control Board,108,1672.03,2022-07-19,56,WH-03,13
PRT-0000127,SUP-014,MCH-0325,Coolant Pump,76,1229.04,2023-07-16,52,WH-01,27
PRT-0000128,SUP-042,MCH-0231,Control Board,189,149.92,2021-01-17,57,WH-02,41
PRT-0000129,SUP-022,MCH-0392,Encoder Disc,370,1932.09,2022-12-14,15,WH-03,15
PRT-0000130,SUP-025,MCH-0037,Drive Belt,230,2206.0,2022-05-31,29,WH-02,42
PRT-0000131,SUP-043,MCH-0221,Servo Motor,319,2251.77,2023-01-06,73,WH-03,36
PRT-0000132,SUP-031,MCH-0321,Proximity Sensor,101,2484.75,2023-10-05,49,WH-01,42
PRT-0000133,SUP-010,MCH-0499,Safety Relay,160,366.96,2022-03-04,91,WH-02,21
PRT-0000134,SUP-029,MCH-0232,Bearing Assembly,312,219.47,2021-07-24,37,WH-01,37
PRT-0000135,SUP-028,MCH-0052,Proximity Sensor,121,376.81,2023-11-11,20,WH-04,32
PRT-0000136,SUP-003,MCH-0465,Encoder Disc,20,302.8,2023-07-26,35,WH-03,7
PRT-0000137,SUP-029,MCH-0171,Hydraulic Seal,8,2238.56,2023-10-31,79,WH-01,10
PRT-0000138,SUP-021,MCH-0379,Proximity Sensor,45,183.41,2023-05-12,23,WH-04,6
PRT-0000139,SUP-049,MCH-0272,Drive Belt,327,2071.85,2022-11-06,50,WH-02,17
PRT-0000140,SUP-016,MCH-0075,Encoder Disc,185,948.29,2022-04-27,70,WH-04,22
PRT-0000141,SUP-038,MCH-0316,Safety Relay,126,987.54,2023-04-19,55,WH-04,22
PRT-0000142,SUP-032,MCH-0427,Drive Belt,1,2054.75,2022-04-29,42,WH-02,28
PRT-0000143,SUP-029,MCH-0167,Servo Motor,454,2378.8,2024-08-06,22,WH-04,22
PRT-0000144,SUP-010,MCH-0009,Drive Belt,266,1736.41,2021-07-25,46,WH-03,36
PRT-0000145,SUP-037,MCH-0306,Coolant Pump,139,1751.84,2022-05-24,94,WH-02,6
PRT-0000146,SUP-013,MCH-0088,Drive Belt,91,1307.56,2021-10-28,66,WH-04,44
PRT-0000147,SUP-041,MCH-0113,Bearing Assembly,408,1114.57,2022-11-08,32,WH-01,9
PRT-0000148,SUP-047,MCH-0368,Safety Relay,256,459.5,2022-01-19,34,WH-01,37
PRT-0000149,SUP-002,MCH-0384,Servo Motor,152,1605.06,2024-02-02,48,WH-02,22
PRT-0000150,SUP-010,MCH-0432,Hydraulic Seal,192,1294.31,2024-06-07,14,WH-02,11
PRT-0000151,SUP-020,MCH-0150,Encoder Disc,256,1274.08,2022-12-22,76,WH-04,30
PRT-0000152,SUP-011,MCH-0263,Safety Relay,324,1090.72,2021-09-02,35,WH-01,18
PRT-0000153,SUP-015,MCH-0470,Drive Belt,267,2157.76,2022-08-11,69,WH-04,10
PRT-0000154,SUP-004,MCH-0462,Drive Belt,275,206.73,2024-08-15,64,WH-01,31
PRT-0000155,SUP-037,MCH-0034,Drive Belt,121,1906.99,2022-11-16,79,WH-03,4
PRT-0000156,SUP-027,MCH-0368,Hydraulic Seal,284,399.13,2023-08-19,87,WH-02,17
PRT-0000157,SUP-005,MCH-0324,Bearing Assembly,56,2480.35,2022-07-10,27,WH-04,28
PRT-0000158,SUP-022,MCH-0424,Coolant Pump,182,2354.7,2024-07-26,45,WH-01,22
PRT-0000159,SUP-048,MCH-0365,Hydraulic Seal,43,33.31,2023-05-20,57,WH-03,13
PRT-0000160,SUP-004,MCH-0318,Bearing Assembly,44,448.92,2021-02-01,30,WH-03,32
PRT-0000161,SUP-046,MCH-0131,Hydraulic Seal,389,93.9,2022-03-09,18,WH-01,34
PRT-0000162,SUP-041,MCH-0353,Bearing Assembly,275,1432.53,2023-06-10,80,WH-04,16
PRT-0000163,SUP-046,MCH-0476,Power Supply Unit,82,1285.54,2021-04-10,61,WH-02,9
PRT-0000164,SUP-007,MCH-0075,Hydraulic Seal,103,789.74,2022-08-14,33,WH-03,6
PRT-0000165,SUP-035,MCH-0214,Encoder Disc,471,508.72,2021-06-10,92,WH-04,32
PRT-0000166,SUP-003,MCH-0234,Safety Relay,350,1027.02,2023-08-30,19,WH-03,20
PRT-0000167,SUP-043,MCH-0159,Encoder Disc,446,1485.5,2022-06-14,36,WH-03,29
PRT-0000168,SUP-040,MCH-0215,Drive Belt,384,67.45,2023-07-03,99,WH-04,34
PRT-0000169,SUP-046,MCH-0086,Safety Relay,80,699.19,2022-08-28,58,WH-02,14
PRT-0000170,SUP-004,MCH-0193,Servo Motor,401,1701.77,2022-05-02,24,WH-03,36
PRT-0000171,SUP-026,MCH-0116,Servo Motor,259,339.95,2021-11-16,48,WH-01,26
PRT-0000172,SUP-031,MCH-0045,Coolant Pump,384,1142.7,2024-01-16,96,WH-04,44
PRT-0000173,SUP-014,MCH-0359,Hydraulic Seal,212,668.95,2023-12-25,31,WH-04,27
PRT-0000174,SUP-042,MCH-0335,Power Supply Unit,121,437.52,2023-05-17,81,WH-02,33
PRT-0000175,SUP-010,MCH-0151,Control Board,139,131.22,2022-05-13,55,WH-02,7
PRT-0000176,SUP-040,MCH-0489,Power Supply Unit,315,1851.67,2022-11-30,28,WH-03,6
PRT-0000177,SUP-009,MCH-0467,Power Supply Unit,486,1698.52,2023-01-25,31,WH-01,44
PRT-0000178,SUP-004,MCH-0425,Servo Motor,333,248.88,2023-02-10,24,WH-01,27
PRT-0000179,SUP-004,MCH-0073,Proximity Sensor,201,2115.9,2022-03-22,61,WH-03,23
PRT-0000180,SUP-029,MCH-0072,Proximity Sensor,216,1017.6,2021-03-10,16,WH-03,39
PRT-0000181,SUP-045,MCH-0383,Drive Belt,97,1202.98,2023-01-27,77,WH-03,18
PRT-0000182,SUP-018,MCH-0356,Encoder Disc,474,1383.11,2023-08-16,55,WH-04,4
PRT-0000183,SUP-021,MCH-0357,Servo Motor,374,1589.29,2022-10-09,30,WH-03,39
PRT-0000184,SUP-003,MCH-0225,Proximity Sensor,177,1629.87,2022-03-28,27,WH-02,11
PRT-0000185,SUP-019,MCH-0488,Encoder Disc,378,2282.46,2021-09-23,56,WH-01,42
PRT-0000186,SUP-031,MCH-0480,Coolant Pump,126,640.42,2022-08-02,69,WH-01,22
PRT-0000187,SUP-019,MCH-0209,Safety Relay,175,388.54,2024-12-02,98,WH-01,36
PRT-0000188,SUP-016,MCH-0096,Power Supply Unit,247,1935.61,2024-01-20,52,WH-01,21
PRT-0000189,SUP-014,MCH-0013,Hydraulic Seal,80,1765.62,2024-10-27,81,WH-01,9
PRT-0000190,SUP-034,MCH-0333,Hydraulic Seal,331,1680.01,2024-08-19,44,WH-01,29
PRT-0000191,SUP-019,MCH-0189,Bearing Assembly,186,474.9,2023-06-29,16,WH-03,8
PRT-0000192,SUP-040,MCH-0443,Safety Relay,157,722.53,2024-11-18,39,WH-03,33
PRT-0000193,SUP-011,MCH-0352,Power Supply Unit,359,352.96,2021-01-27,83,WH-04,29
PRT-0000194,SUP-011,MCH-0115,Servo Motor,244,737.71,2022-06-14,23,WH-01,30
PRT-0000195,SUP-009,MCH-0387,Safety Relay,409,414.03,2023-03-18,24,WH-04,31
PRT-0000196,SUP-047,MCH-0137,Drive Belt,155,2297.52,2021-03-19,66,WH-02,15
PRT-0000197,SUP-038,MCH-0314,Safety Relay,369,2124.42,2021-08-19,51,WH-04,41
PRT-0000198,SUP-025,MCH-0123,Coolant Pump,474,2428.59,2021-07-06,24,WH-03,15
PRT-0000199,SUP-020,MCH-0192,Safety Relay,284,2495.95,2024-08-29,73,WH-02,30
PRT-0000200,SUP-045,MCH-0397,Servo Motor,110,993.27,2023-12-21,15,WH-03,16
PRT-0000201,SUP-019,MCH-0275,Proximity Sensor,251,1323.7,2022-04-07,46,WH-02,38
PRT-0000202,SUP-045,MCH-0339,Power Supply Unit,20,1488.23,2021-03-26,10,WH-01,19
PRT-0000203,SUP-036,MCH-0065,Proximity Sensor,136,1634.56,2022-10-21,34,WH-03,30
PRT-0000204,SUP-047,MCH-0420,Bearing Assembly,473,1038.45,2023-12-21,14,WH-03,26
PRT-0000205,SUP-012,MCH-0493,Drive Belt,205,2245.6,2024-12-26,44,WH-01,17
PRT-0000206,SUP-033,MCH-0323,Encoder Disc,213,2439.86,2024-08-06,87,WH-01,8
PRT-0000207,SUP-002,MCH-0113,Servo Motor,291,2041.56,2021-10-02,22,WH-04,41
PRT-0000208,SUP-008,MCH-0053,Encoder Disc,347,2306.5,2021-05-18,47,WH-04,17
PRT-0000209,SUP-033,MCH-0341,Encoder Disc,236,1757.71,2024-08-13,55,WH-04,13
PRT-0000210,SUP-026,MCH-0123,Safety Relay,224,555.99,2021-01-22,71,WH-04,20
PRT-0000211,SUP-040,MCH-0147,Servo Motor,367,812.97,2023-12-21,32,WH-02,40
PRT-0000212,SUP-033,MCH-0343,Hydraulic Seal,354,2046.87,2024-01-17,11,WH-02,22
PRT-0000213,SUP-012,MCH-0201,Servo Motor,296,863.22,2021-05-15,77,WH-03,40
PRT-0000214,SUP-010,MCH-0042,Servo Motor,410,539.96,2024-01-03,48,WH-01,38
PRT-0000215,SUP-046,MCH-0051,Safety Relay,358,1406.35,2023-10-13,14,WH-03,39
PRT-0000216,SUP-003,MCH-0380,Proximity Sensor,143,1760.99,2023-08-08,76,WH-02,5
PRT-0000217,SUP-027,MCH-0150,Safety Relay,458,1771.69,2022-04-27,90,WH-01,14
PRT-0000218,SUP-043,MCH-0310,Control Board,342,11.81,2023-11-14,21,WH-01,17
PRT-0000219,SUP-016,MCH-0494,Control Board,245,2213.13,2024-04-26,91,WH-01,40
PRT-0000220,SUP-018,MCH-0028,Encoder Disc,254,201.88,2022-10-05,84,WH-02,22
PRT-0000221,SUP-005,MCH-0302,Control Board,99,1668.4,2021-03-30,43,WH-02,43
PRT-0000222,SUP-024,MCH-0095,Coolant Pump,474,643.18,2024-12-15,78,WH-02,11
PRT-0000223,SUP-039,MCH-0011,Power Supply Unit,142,508.54,2021-10-21,81,WH-03,18
PRT-0000224,SUP-012,MCH-0061,Safety Relay,414,845.35,2021-12-21,31,WH-01,9
PRT-0000225,SUP-035,MCH-0435,Coolant Pump,162,627.73,2021-01-17,54,WH-04,27
PRT-0000226,SUP-029,MCH-0413,Drive Belt,36,13.09,2021-03-26,13,WH-04,28
PRT-0000227,SUP-036,MCH-0314,Safety Relay,347,132.03,2021-04-14,11,WH-04,11
PRT-0000228,SUP-035,MCH-0355,Bearing Assembly,266,801.46,2022-08-03,50,WH-02,10
PRT-0000229,SUP-031,MCH-0485,Servo Motor,427,633.53,2024-06-06,93,WH-02,14
PRT-0000230,SUP-020,MCH-0279,Bearing Assembly,133,729.43,2024-11-17,82,WH-02,25
PRT-0000231,SUP-028,MCH-0211,Servo Motor,487,685.67,2022-11-11,64,WH-04,33
PRT-0000232,SUP-047,MCH-0332,Hydraulic Seal,347,1408.28,2024-12-09,28,WH-03,12
PRT-0000233,SUP-041,MCH-0184,Safety Relay,118,1306.72,2021-02-20,98,WH-04,26
PRT-0000234,SUP-012,MCH-0024,Safety Relay,323,518.54,2024-01-02,37,WH-04,10
PRT-0000235,SUP-035,MCH-0192,Control Board,151,1177.0,2022-02-24,85,WH-02,41
PRT-0000236,SUP-048,MCH-0344,Bearing Assembly,170,1666.16,2022-10-25,37,WH-04,34
PRT-0000237,SUP-009,MCH-0460,Control Board,198,1977.33,2023-03-16,39,WH-04,10
PRT-0000238,SUP-038,MCH-0237,Encoder Disc,455,599.02,2023-06-09,78,WH-04,26
PRT-0000239,SUP-045,MCH-0475,Hydraulic Seal,267,1255.65,2022-11-27,52,WH-04,28
PRT-0000240,SUP-049,MCH-0389,Drive Belt,39,2067.4,2024-04-18,46,WH-04,3
PRT-0000241,SUP-030,MCH-0286,Power Supply Unit,448,1354.92,2022-08-07,13,WH-03,3
PRT-0000242,SUP-043,MCH-0368,Proximity Sensor,334,1332.83,2021-03-08,17,WH-01,37
PRT-0000243,SUP-047,MCH-0403,Servo Motor,396,458.06,2021-08-03,81,WH-04,17
PRT-0000244,SUP-044,MCH-0498,Power Supply Unit,111,662.39,2022-05-02,59,WH-04,5
PRT-0000245,SUP-025,MCH-0422,Power Supply Unit,414,435.37,2024-03-30,38,WH-03,12
PRT-0000246,SUP-026,MCH-0304,Control Board,239,1673.57,2022-03-11,22,WH-03,7
PRT-0000247,SUP-004,MCH-0426,Control Board,316,1483.42,2021-03-08,33,WH-03,24
PRT-0000248,SUP-049,MCH-0302,Bearing Assembly,296,1171.82,2023-08-02,64,WH-01,30
PRT-0000249,SUP-041,MCH-0314,Power Supply Unit,416,1596.86,2021-10-02,90,WH-04,4
PRT-0000250,SUP-038,MCH-0338,Bearing Assembly,54,1228.71,2023-08-08,90,WH-03,7
PRT-0000251,SUP-022,MCH-0176,Coolant Pump,456,1073.36,2024-06-29,16,WH-04,4
PRT-0000252,SUP-012,MCH-0224,Power Supply Unit,179,894.29,2021-08-28,74,WH-02,37
PRT-0000253,SUP-022,MCH-0108,Safety Relay,409,327.57,2022-05-14,11,WH-02,35
PRT-0000254,SUP-028,MCH-0320,Servo Motor,29,63.85,2021-07-12,66,WH-01,24
PRT-0000255,SUP-036,MCH-0495,Safety Relay,445,181.17,2021-04-19,77,WH-02,19
PRT-0000256,SUP-045,MCH-0100,Servo Motor,412,974.44,2024-12-07,60,WH-03,26
PRT-0000257,SUP-030,MCH-0149,Bearing Assembly,332,1396.11,2021-11-19,38,WH-02,25
PRT-0000258,SUP-050,MCH-0396,Drive Belt,256,1035.61,2021-10-05,87,WH-01,36
PRT-0000259,SUP-017,MCH-0161,Power Supply Unit,106,2308.04,2021-11-18,31,WH-02,7
PRT-0000260,SUP-049,MCH-0244,Drive Belt,223,1479.85,2021-12-05,31,WH-04,3
PRT-0000261,SUP-048,MCH-0105,Proximity Sensor,244,1358.9,2023-12-03,49,WH-04,3
PRT-0000262,SUP-004,MCH-0311,Encoder Disc,117,2058.91,2024-04-11,72,WH-02,22
PRT-0000263,SUP-006,MCH-0200,Hydraulic Seal,135,1783.0,2023-02-24,68,WH-02,36
PRT-0000264,SUP-005,MCH-0239,Encoder Disc,316,2486.5,2021-03-13,96,WH-02,26
PRT-0000265,SUP-022,MCH-0157,Servo Motor,154,1721.5,2022-05-10,37,WH-01,39
PRT-0000266,SUP-023,MCH-0381,Power Supply Unit,101,1749.72,2021-02-20,41,WH-01,17
PRT-0000267,SUP-018,MCH-0478,Servo Motor,89,2204.47,2023-04-13,32,WH-03,8
PRT-0000268,SUP-007,MCH-0378,Safety Relay,327,2080.69,2022-08-13,99,WH-04,27
PRT-0000269,SUP-021,MCH-0102,Coolant Pump,134,870.32,2023-06-19,94,WH-03,28
PRT-0000270,SUP-028,MCH-0133,Drive Belt,351,985.01,2022-02-05,11,WH-04,39
