machine_id,plant_id,machine_type,model,install_date,last_service_date,status,operational_hours,energy_consumption_kwh,location_zone
MCH-0356,PLT-04,Inspection Bot,SIMOTION D,2017-03-04,2019-05-20,Active,44433,8.87,Zone-A
MCH-0500,PLT-05,Conveyor,SIMATIC ET200,2023-01-23,2024-12-31,Decommissioned,2327,5.06,Zone-A
MCH-0054,PLT-03,Lathe,SINUMERIK 840D,2023-11-13,2024-05-24,Idle,23221,39.02,Zone-C
MCH-0060,PLT-10,Press,SIRIUS 3RW,2022-12-06,2024-12-19,Idle,10876,18.76,Zone-C
MCH-0245,PLT-09,Robotic Arm,SINUMERIK 840D,2021-08-01,2022-08-14,Under Maintenance,1111,6.63,Zone-C
MCH-0388,PLT-06,Welding Unit,SIRIUS 3RW,2019-09-03,2020-07-13,Active,27662,24.38,Zone-D
MCH-0229,PLT-08,Robotic Arm,SINUMERIK 840D,2016-03-12,2016-11-17,Idle,21305,71.67,Zone-A
MCH-0471,PLT-04,Robotic Arm,SIRIUS 3RW,2022-10-16,2024-12-31,Active,35275,23.05,Zone-C
MCH-0149,PLT-01,CNC Mill,SIMATIC ET200,2020-02-09,2021-02-17,Active,35785,35.8,Zone-C
MCH-0281,PLT-08,Welding Unit,Siemens S7-1500,2015-09-24,2016-02-05,Under Maintenance,32890,93.3,Zone-B
MCH-0307,PLT-07,Inspection Bot,SIMATIC ET200,2023-05-26,2023-09-27,Active,38867,61.64,Zone-D
MCH-0143,PLT-09,Lathe,SINAMICS G120,2021-10-29,2022-12-22,Active,21360,101.97,Zone-A
MCH-0334,PLT-10,Lathe,SINAMICS G120,2017-09-24,2018-01-31,Decommissioned,26642,12.4,Zone-C
MCH-0013,PLT-06,Robotic Arm,Siemens S7-1500,2021-05-10,2022-06-11,Under Maintenance,936,55.21,Zone-D
MCH-0242,PLT-05,Robotic Arm,Siemens S7-1500,2023-02-23,2024-12-31,Active,22755,40.25,Zone-D
MCH-0255,PLT-02,Press,SINUMERIK 840D,2019-04-06,2020-04-22,Idle,30465,118.85,Zone-A
MCH-0445,PLT-04,Lathe,SIRIUS 3RW,2018-06-03,2020-03-12,Active,37857,75.36,Zone-D
MCH-0353,PLT-04,CNC Mill,SIRIUS 3RW,2023-10-12,2024-08-07,Active,26580,67.55,Zone-D
MCH-0021,PLT-06,Conveyor,SINUMERIK 840D,2017-09-28,2020-02-01,Active,13131,34.66,Zone-C
MCH-0235,PLT-01,Press,SIMOTION D,2017-09-12,2017-11-25,Active,6774,27.6,Zone-C
MCH-0383,PLT-07,Robotic Arm,SIMATIC ET200,2022-01-11,2024-02-27,Active,29723,21.35,Zone-C
MCH-0428,PLT-04,Inspection Bot,Siemens S7-1500,2021-05-19,2022-10-01,Active,2604,97.13,Zone-D
MCH-0061,PLT-07,CNC Mill,SINAMICS G120,2017-11-01,2019-06-03,Active,38188,58.03,Zone-B
MCH-0024,PLT-07,Conveyor,SIMOTION D,2021-02-26,2021-08-02,Idle,41299,24.65,Zone-B
MCH-0217,PLT-01,Press,SIRIUS 3RW,2016-11-10,2018-01-01,Active,47388,108.22,Zone-C
MCH-0035,PLT-08,Welding Unit,Siemens S7-1500,2017-11-27,2018-03-17,Active,27204,25.32,Zone-D
MCH-0279,PLT-03,Lathe,SIRIUS 3RW,2020-05-27,2022-01-12,Active,36248,69.05,Zone-D
MCH-0496,PLT-02,Lathe,SINUMERIK 840D,2019-03-18,2020-02-11,Active,13241,15.55,Zone-A
MCH-0196,PLT-06,Welding Unit,SIMOTION D,2020-10-23,2023-03-21,Active,37189,34.46,Zone-C
MCH-0055,PLT-05,Welding Unit,SINAMICS G120,2017-03-02,2018-12-25,Active,41666,10.56,Zone-A
MCH-0405,PLT-01,Robotic Arm,SIMATIC ET200,2021-04-19,2022-05-24,Active,27758,47.81,Zone-D
MCH-0128,PLT-07,Welding Unit,SIRIUS 3RW,2020-06-24,2021-02-05,Under Maintenance,34729,22.04,Zone-D
MCH-0152,PLT-01,Press,SIRIUS 3RW,2017-02-16,2019-03-09,Active,33714,85.27,Zone-C
MCH-0218,PLT-03,Welding Unit,SIMATIC ET200,2021-08-03,2021-11-12,Under Maintenance,14684,34.61,Zone-A
MCH-0317,PLT-07,Robotic Arm,SIMOTION D,2018-01-10,2018-03-27,Active,18876,76.52,Zone-A
MCH-0122,PLT-02,Robotic Arm,SINAMICS G120,2017-09-15,2019-08-23,Idle,32581,85.48,Zone-D
MCH-0008,PLT-06,Lathe,Siemens S7-1500,2015-10-02,2017-12-31,Under Maintenance,23548,113.78,Zone-A
MCH-0070,PLT-05,Lathe,SINAMICS G120,2016-11-30,2017-10-22,Idle,31623,35.4,Zone-A
MCH-0380,PLT-05,Conveyor,SINAMICS G120,2023-11-29,2024-03-19,Active,18333,110.54,Zone-B
MCH-0100,PLT-09,Press,Siemens S7-1500,2017-11-23,2018-04-05,Active,20598,106.06,Zone-B
MCH-0190,PLT-09,Robotic Arm,SIMATIC ET200,2021-12-25,2023-02-17,Active,35980,41.31,Zone-D
MCH-0360,PLT-04,Lathe,SINUMERIK 840D,2020-06-09,2021-10-16,Active,25681,53.32,Zone-B
MCH-0259,PLT-04,Press,SIRIUS 3RW,2023-08-26,2024-12-31,Under Maintenance,11937,33.22,Zone-C
MCH-0016,PLT-08,Robotic Arm,SIMOTION D,2023-04-20,2024-12-31,Active,46566,11.39,Zone-D
MCH-0134,PLT-05,Lathe,SIMATIC ET200,2020-12-19,2022-01-26,Active,25601,91.74,Zone-A
MCH-0497,PLT-07,Robotic Arm,SIMATIC ET200,2020-07-27,2021-02-08,Decommissioned,30956,24.58,Zone-D
MCH-0131,PLT-05,CNC Mill,SIRIUS 3RW,2018-05-13,2019-06-10,Active,18764,38.24,Zone-C
MCH-0110,PLT-03,Lathe,SIMOTION D,2016-08-30,2017-05-01,Active,4775,34.54,Zone-C
MCH-0449,PLT-09,CNC Mill,Siemens S7-1500,2023-05-03,2024-12-31,Under Maintenance,37924,7.99,Zone-B
MCH-0327,PLT-04,Conveyor,SINUMERIK 840D,2016-01-30,2016-11-28,Active,38178,10.98,Zone-A
MCH-0280,PLT-07,Press,Siemens S7-1500,2016-06-20,2018-07-08,Active,10838,6.33,Zone-C
MCH-0490,PLT-08,CNC Mill,Siemens S7-1500,2023-05-05,2024-12-31,Idle,21302,80.04,Zone-C
MCH-0121,PLT-09,Welding Unit,SINAMICS G120,2017-11-08,2019-10-02,Active,37272,32.41,Zone-B
MCH-0404,PLT-05,Inspection Bot,SINUMERIK 840D,2015-10-29,2016-02-09,Decommissioned,27814,117.93,Zone-B
MCH-0418,PLT-07,Robotic Arm,SIMOTION D,2020-07-02,2022-04-16,Under Maintenance,40531,79.92,Zone-B
MCH-0174,PLT-07,Robotic Arm,SINUMERIK 840D,2018-02-04,2019-12-16,Active,10421,105.76,Zone-D
MCH-0456,PLT-04,CNC Mill,SIMATIC ET200,2022-02-24,2022-09-17,Active,37225,14.97,Zone-D
MCH-0116,PLT-07,Robotic Arm,SIMATIC ET200,2023-10-04,2024-12-31,Active,17307,81.71,Zone-B
MCH-0422,PLT-01,CNC Mill,SINUMERIK 840D,2019-04-12,2020-01-17,Active,46305,102.26,Zone-D
MCH-0156,PLT-10,CNC Mill,SIMATIC ET200,2017-10-29,2018-05-14,Active,11777,24.58,Zone-D
MCH-0293,PLT-08,Lathe,SIMOTION D,2016-07-21,2017-12-06,Active,4819,44.25,Zone-D
MCH-0153,PLT-06,Robotic Arm,SIMOTION D,2023-08-12,2024-06-13,Active,8000,10.9,Zone-D
MCH-0204,PLT-02,CNC Mill,SIRIUS 3RW,2016-03-02,2018-01-16,Active,45624,107.98,Zone-B
MCH-0427,PLT-09,Welding Unit,SIRIUS 3RW,2019-06-07,2021-06-10,Idle,40524,49.59,Zone-D
MCH-0210,PLT-04,Press,SIRIUS 3RW,2019-10-25,2020-07-05,Active,22635,37.91,Zone-D
MCH-0417,PLT-09,CNC Mill,Siemens S7-1500,2020-06-03,2022-06-04,Idle,36477,107.15,Zone-D
MCH-0295,PLT-01,Welding Unit,SIMOTION D,2019-12-06,2022-03-01,Idle,40930,81.03,Zone-A
MCH-0396,PLT-08,Inspection Bot,SIRIUS 3RW,2015-09-29,2017-12-31,Active,3224,52.83,Zone-A
MCH-0485,PLT-06,Conveyor,SINUMERIK 840D,2022-06-12,2022-09-07,Active,34164,73.0,Zone-D
MCH-0206,PLT-09,CNC Mill,Siemens S7-1500,2022-11-29,2023-08-20,Under Maintenance,20803,65.04,Zone-C
MCH-0361,PLT-06,Press,SIMATIC ET200,2016-02-22,2016-04-24,Active,40824,86.8,Zone-D
MCH-0402,PLT-02,Robotic Arm,Siemens S7-1500,2023-05-19,2024-05-06,Active,35710,15.65,Zone-B
MCH-0273,PLT-04,Robotic Arm,SIRIUS 3RW,2017-05-22,2018-03-22,Decommissioned,38205,45.14,Zone-C
MCH-0389,PLT-05,Inspection Bot,SINAMICS G120,2016-02-16,2016-05-23,Idle,35099,119.13,Zone-B
MCH-0064,PLT-07,CNC Mill,SINUMERIK 840D,2020-05-09,2021-01-10,Active,12173,75.95,Zone-D
MCH-0289,PLT-01,CNC Mill,SINUMERIK 840D,2019-05-02,2020-04-18,Active,24013,18.77,Zone-A
MCH-0213,PLT-07,Inspection Bot,SINAMICS G120,2018-02-01,2020-01-03,Active,14282,47.1,Zone-B
MCH-0107,PLT-04,Conveyor,SINAMICS G120,2015-01-26,2016-04-05,Active,33930,92.67,Zone-B
MCH-0348,PLT-06,Conveyor,SIRIUS 3RW,2015-12-12,2017-04-24,Active,22020,73.09,Zone-C
MCH-0321,PLT-09,Press,SIMATIC ET200,2020-05-25,2020-11-17,Active,44436,111.66,Zone-C
MCH-0003,PLT-04,Robotic Arm,SIRIUS 3RW,2016-06-18,2017-04-15,Idle,17156,89.13,Zone-D
MCH-0461,PLT-08,Conveyor,SINUMERIK 840D,2019-08-22,2020-02-10,Idle,27431,80.65,Zone-B
MCH-0240,PLT-05,CNC Mill,SIMOTION D,2020-10-09,2021-07-18,Active,1732,47.52,Zone-B
MCH-0154,PLT-02,CNC Mill,SIMATIC ET200,2017-08-22,2019-10-23,Active,35742,16.04,Zone-A
MCH-0109,PLT-09,Lathe,SINAMICS G120,2020-11-22,2022-07-19,Active,16466,117.97,Zone-A
MCH-0489,PLT-10,Welding Unit,SINAMICS G120,2017-07-23,2019-02-24,Under Maintenance,42177,86.91,Zone-B
MCH-0454,PLT-03,CNC Mill,SINAMICS G120,2022-11-28,2023-09-23,Idle,11660,24.45,Zone-B
MCH-0498,PLT-01,Lathe,SINUMERIK 840D,2018-12-04,2021-02-05,Active,41516,84.82,Zone-C
MCH-0473,PLT-10,Welding Unit,SINAMICS G120,2023-10-31,2024-12-31,Active,16142,76.28,Zone-A
MCH-0291,PLT-09,Welding Unit,SIMATIC ET200,2015-07-14,2016-10-24,Active,29406,89.73,Zone-D
MCH-0275,PLT-07,Welding Unit,SIRIUS 3RW,2015-03-30,2016-12-16,Idle,23004,44.5,Zone-D
MCH-0178,PLT-06,Welding Unit,SINAMICS G120,2021-12-04,2023-02-15,Active,8907,27.52,Zone-D
MCH-0163,PLT-01,Robotic Arm,SINUMERIK 840D,2019-09-28,2020-06-08,Idle,14399,60.47,Zone-A
MCH-0342,PLT-06,Conveyor,SIMATIC ET200,2020-01-08,2020-06-27,Active,31333,14.12,Zone-B
MCH-0267,PLT-10,Conveyor,SINUMERIK 840D,2015-05-14,2016-10-30,Active,19685,22.23,Zone-A
MCH-0266,PLT-01,Lathe,Siemens S7-1500,2019-07-01,2019-09-17,Decommissioned,27290,62.5,Zone-D
MCH-0339,PLT-02,Lathe,SINAMICS G120,2016-04-09,2018-02-10,Active,49355,103.69,Zone-D
MCH-0147,PLT-08,Press,Siemens S7-1500,2022-08-01,2023-02-10,Active,2060,7.94,Zone-C
MCH-0164,PLT-07,Robotic Arm,SIRIUS 3RW,2017-09-15,2020-01-04,Active,9334,19.12,Zone-B
MCH-0362,PLT-07,Robotic Arm,SINAMICS G120,2022-03-14,2023-06-19,Under Maintenance,1491,103.89,Zone-D
MCH-0120,PLT-09,CNC Mill,SINUMERIK 840D,2021-06-01,2023-03-03,Under Maintenance,37794,66.76,Zone-A
MCH-0274,PLT-04,Conveyor,SIRIUS 3RW,2016-07-31,2016-11-03,Active,3098,13.08,Zone-B
MCH-0410,PLT-02,CNC Mill,SIMATIC ET200,2022-03-26,2023-05-24,Under Maintenance,36275,84.13,Zone-C
MCH-0305,PLT-08,Conveyor,SIMATIC ET200,2015-12-30,2017-02-22,Active,44645,71.93,Zone-D
MCH-0183,PLT-10,Robotic Arm,Siemens S7-1500,2016-02-29,2017-11-30,Idle,36146,42.02,Zone-A
MCH-0261,PLT-02,CNC Mill,SINUMERIK 840D,2019-11-14,2021-06-07,Under Maintenance,31890,47.3,Zone-C
MCH-0072,PLT-05,Robotic Arm,Siemens S7-1500,2021-07-31,2022-05-14,Active,40669,107.68,Zone-B
MCH-0286,PLT-09,Press,SIRIUS 3RW,2018-07-02,2020-02-18,Active,20074,86.6,Zone-C
MCH-0264,PLT-06,Lathe,SINUMERIK 840D,2016-02-12,2016-03-24,Active,5140,99.35,Zone-C
MCH-0074,PLT-06,CNC Mill,SIMATIC ET200,2020-07-19,2022-08-26,Active,46527,98.45,Zone-D
MCH-0155,PLT-08,Robotic Arm,SINUMERIK 840D,2022-02-25,2022-07-22,Active,37744,103.34,Zone-B
MCH-0243,PLT-06,Welding Unit,Siemens S7-1500,2017-04-04,2019-04-02,Active,46464,87.32,Zone-D
MCH-0125,PLT-07,Lathe,SIMATIC ET200,2016-08-24,2018-03-26,Active,36820,89.84,Zone-C
MCH-0271,PLT-03,Press,SIRIUS 3RW,2017-09-29,2018-07-29,Decommissioned,14365,91.48,Zone-D
MCH-0340,PLT-07,Welding Unit,SIMATIC ET200,2021-09-20,2023-12-16,Idle,7807,12.4,Zone-C
MCH-0364,PLT-03,Press,SINAMICS G120,2018-01-27,2018-06-20,Active,34022,104.54,Zone-D
MCH-0494,PLT-08,Welding Unit,Siemens S7-1500,2016-09-14,2018-01-21,Active,40885,7.63,Zone-D
MCH-0299,PLT-03,Robotic Arm,Siemens S7-1500,2021-10-06,2023-11-14,Under Maintenance,42712,81.81,Zone-A
MCH-0369,PLT-09,CNC Mill,SINAMICS G120,2020-08-22,2022-09-27,Active,40675,109.5,Zone-D
MCH-0082,PLT-05,CNC Mill,SIRIUS 3RW,2015-04-27,2016-02-20,Active,45365,18.99,Zone-C
MCH-0051,PLT-09,Press,SIRIUS 3RW,2019-10-06,2021-12-24,Active,43129,97.21,Zone-A
MCH-0294,PLT-02,Conveyor,SINUMERIK 840D,2021-10-19,2022-05-19,Active,28156,31.98,Zone-A
MCH-0091,PLT-02,Conveyor,SIRIUS 3RW,2022-07-07,2024-01-07,Idle,47831,68.41,Zone-C
MCH-0419,PLT-09,Welding Unit,SINUMERIK 840D,2019-01-13,2020-11-13,Active,28441,91.92,Zone-B
MCH-0180,PLT-09,Press,SIRIUS 3RW,2016-06-22,2017-05-23,Under Maintenance,23862,110.98,Zone-C
MCH-0096,PLT-10,Welding Unit,SIMOTION D,2018-01-09,2020-06-18,Active,13538,42.64,Zone-A
MCH-0009,PLT-08,Welding Unit,SIMOTION D,2022-12-07,2024-10-21,Idle,22825,70.83,Zone-A
MCH-0172,PLT-04,CNC Mill,SINAMICS G120,2018-06-17,2019-12-18,Idle,41411,38.01,Zone-A
MCH-0129,PLT-04,Robotic Arm,SIRIUS 3RW,2023-09-02,2024-03-06,Idle,24921,31.24,Zone-C
MCH-0025,PLT-08,Press,SIMOTION D,2018-12-06,2020-01-22,Active,4943,32.08,Zone-C
MCH-0416,PLT-10,Robotic Arm,SINAMICS G120,2016-08-23,2017-03-06,Active,4286,55.88,Zone-D
MCH-0446,PLT-10,Welding Unit,SINAMICS G120,2019-01-06,2020-08-10,Idle,23836,52.89,Zone-A
MCH-0010,PLT-10,Lathe,SIMATIC ET200,2019-01-25,2021-05-01,Under Maintenance,17216,28.32,Zone-C
MCH-0368,PLT-09,CNC Mill,SINUMERIK 840D,2016-09-26,2018-04-22,Active,607,49.97,Zone-C
MCH-0228,PLT-02,CNC Mill,Siemens S7-1500,2017-04-26,2017-05-26,Active,40073,17.55,Zone-C
MCH-0493,PLT-01,Press,SINAMICS G120,2023-04-03,2024-12-31,Active,45298,40.48,Zone-B
MCH-0470,PLT-10,Press,SINAMICS G120,2019-12-26,2020-12-21,Active,40508,32.85,Zone-B
MCH-0401,PLT-06,Press,SINUMERIK 840D,2019-10-23,2021-04-05,Active,39094,69.84,Zone-D
MCH-0431,PLT-10,Press,Siemens S7-1500,2016-04-02,2017-05-08,Active,30208,10.34,Zone-D
MCH-0184,PLT-02,Inspection Bot,SIRIUS 3RW,2023-11-12,2024-12-31,Active,19237,35.74,Zone-D
MCH-0297,PLT-10,Robotic Arm,SIRIUS 3RW,2015-09-09,2016-08-18,Active,48117,74.9,Zone-B
MCH-0400,PLT-02,Inspection Bot,SINUMERIK 840D,2019-08-14,2020-05-15,Decommissioned,5733,81.7,Zone-C
MCH-0030,PLT-04,Lathe,Siemens S7-1500,2022-07-15,2023-04-17,Active,27487,76.91,Zone-A
MCH-0169,PLT-01,Press,SIRIUS 3RW,2018-09-02,2018-12-21,Active,34576,31.14,Zone-D
MCH-0049,PLT-07,Robotic Arm,SIRIUS 3RW,2022-04-29,2023-10-08,Decommissioned,48652,14.63,Zone-B
MCH-0346,PLT-07,CNC Mill,SIMATIC ET200,2018-05-09,2020-09-20,Idle,23709,61.12,Zone-C
MCH-0474,PLT-05,Conveyor,SIMOTION D,2019-06-10,2019-09-18,Active,21316,62.71,Zone-B
MCH-0332,PLT-06,Conveyor,SIMATIC ET200,2022-11-26,2024-12-31,Decommissioned,8462,9.81,Zone-A
MCH-0298,PLT-03,Welding Unit,SIMOTION D,2020-10-15,2022-05-13,Active,46566,104.47,Zone-A
MCH-0063,PLT-04,Welding Unit,SINAMICS G120,2016-07-17,2016-12-22,Idle,2344,41.06,Zone-D
MCH-0026,PLT-09,Welding Unit,SINAMICS G120,2015-01-23,2016-12-28,Active,29011,22.66,Zone-B
MCH-0123,PLT-01,Robotic Arm,SIMOTION D,2017-04-27,2018-12-10,Active,40972,109.38,Zone-C
MCH-0001,PLT-06,Lathe,SINAMICS G120,2023-01-31,2024-08-23,Under Maintenance,7061,54.52,Zone-C
MCH-0066,PLT-06,CNC Mill,SINAMICS G120,2021-02-05,2022-11-18,Idle,17562,49.67,Zone-C
MCH-0170,PLT-02,Welding Unit,SIMATIC ET200,2017-09-26,2018-05-30,Idle,38609,58.5,Zone-B
MCH-0434,PLT-09,Welding Unit,SIRIUS 3RW,2019-03-10,2021-05-21,Active,16305,35.04,Zone-C
MCH-0457,PLT-07,CNC Mill,SINUMERIK 840D,2017-07-11,2019-07-17,Active,16392,86.78,Zone-A
MCH-0308,PLT-04,CNC Mill,SINAMICS G120,2017-10-14,2018-06-06,Active,20658,6.8,Zone-D
MCH-0011,PLT-09,Welding Unit,SIMATIC ET200,2020-12-07,2023-01-06,Active,46373,47.94,Zone-D
MCH-0004,PLT-07,Welding Unit,SINUMERIK 840D,2022-02-03,2023-01-18,Idle,12317,55.27,Zone-B
MCH-0158,PLT-10,Lathe,SINUMERIK 840D,2023-11-28,2024-12-31,Idle,48647,59.06,Zone-B
MCH-0384,PLT-02,Lathe,SINAMICS G120,2019-01-09,2020-12-26,Active,29134,92.37,Zone-B
MCH-0037,PLT-03,Robotic Arm,SIMOTION D,2020-06-04,2022-04-30,Idle,20216,41.01,Zone-A
MCH-0359,PLT-09,Press,SIMATIC ET200,2016-02-27,2017-04-14,Idle,28362,33.28,Zone-D
MCH-0265,PLT-10,CNC Mill,SINUMERIK 840D,2022-03-28,2023-08-02,Active,48516,61.48,Zone-A
MCH-0111,PLT-01,Press,SIRIUS 3RW,2022-03-07,2022-08-07,Active,9157,32.56,Zone-C
MCH-0221,PLT-09,Lathe,SINAMICS G120,2022-07-31,2023-04-17,Active,28122,97.42,Zone-D
MCH-0453,PLT-02,Conveyor,SIMOTION D,2016-05-16,2016-08-19,Active,20731,108.96,Zone-D
MCH-0237,PLT-09,Lathe,Siemens S7-1500,2023-12-21,2024-12-31,Under Maintenance,37853,102.56,Zone-B
MCH-0257,PLT-07,Conveyor,SIMOTION D,2021-01-20,2022-10-14,Active,10408,66.79,Zone-B
MCH-0014,PLT-07,CNC Mill,SINUMERIK 840D,2023-04-29,2024-12-31,Active,6574,61.03,Zone-C
MCH-0326,PLT-04,Press,Siemens S7-1500,2015-07-26,2017-08-18,Active,4202,34.8,Zone-B
MCH-0444,PLT-10,Welding Unit,SINAMICS G120,2017-06-30,2019-05-07,Active,14493,12.46,Zone-D
MCH-0468,PLT-10,Lathe,SIMATIC ET200,2021-03-01,2021-05-30,Active,22753,113.27,Zone-D
MCH-0337,PLT-07,Robotic Arm,SIMATIC ET200,2020-12-06,2021-12-09,Active,29460,16.48,Zone-C
MCH-0053,PLT-05,Welding Unit,SIRIUS 3RW,2023-01-29,2024-08-07,Active,30691,89.26,Zone-A
MCH-0167,PLT-03,Conveyor,SIMOTION D,2021-02-04,2021-11-04,Decommissioned,1357,86.08,Zone-B
MCH-0375,PLT-03,CNC Mill,SIRIUS 3RW,2020-03-15,2021-08-24,Active,1234,80.12,Zone-D
MCH-0386,PLT-05,Lathe,SINAMICS G120,2015-03-17,2015-08-29,Active,45343,60.54,Zone-C
MCH-0048,PLT-10,Conveyor,SINUMERIK 840D,2017-12-18,2019-05-16,Active,7162,39.11,Zone-D
MCH-0429,PLT-08,Lathe,SIMATIC ET200,2021-03-26,2021-12-29,Active,8883,41.94,Zone-D
MCH-0097,PLT-01,Robotic Arm,Siemens S7-1500,2018-10-04,2019-12-24,Under Maintenance,19849,5.29,Zone-D
MCH-0397,PLT-02,Robotic Arm,SIMATIC ET200,2015-01-29,2015-09-10,Active,24009,90.49,Zone-B
MCH-0012,PLT-05,Inspection Bot,Siemens S7-1500,2019-11-22,2021-10-26,Active,4710,77.21,Zone-A
MCH-0191,PLT-10,Conveyor,SINUMERIK 840D,2020-10-20,2021-11-16,Active,7584,101.28,Zone-C
MCH-0495,PLT-01,Welding Unit,SINAMICS G120,2019-12-22,2021-03-29,Active,22964,14.91,Zone-D
MCH-0260,PLT-02,CNC Mill,SIMOTION D,2015-01-13,2016-06-04,Active,45570,71.16,Zone-D
MCH-0220,PLT-07,Lathe,Siemens S7-1500,2020-04-14,2020-07-08,Active,36169,27.26,Zone-D
MCH-0047,PLT-06,Inspection Bot,Siemens S7-1500,2022-04-01,2024-03-20,Active,23316,114.3,Zone-C
MCH-0041,PLT-09,Lathe,SINUMERIK 840D,2018-01-10,2018-05-20,Idle,4715,28.86,Zone-C
MCH-0203,PLT-04,Robotic Arm,SIMATIC ET200,2017-12-06,2019-02-21,Active,11342,102.74,Zone-D
MCH-0333,PLT-05,Inspection Bot,SIMATIC ET200,2019-12-13,2022-04-10,Active,24855,49.89,Zone-A
MCH-0459,PLT-07,Robotic Arm,SIMOTION D,2020-07-12,2020-11-30,Under Maintenance,42169,60.23,Zone-A
MCH-0057,PLT-08,Welding Unit,SIMOTION D,2016-01-21,2016-09-01,Idle,15458,25.59,Zone-C
