defect_id,batch_id,part_id,defect_type,severity,detected_at,detection_method,rework_required,scrap_cost_usd,root_cause
DEF-0000017,BCH-0041055,PRT-0092015,Dimensional Error,Minor,2022-01-06 02:47:09,Ultrasonic,False,10.61,Process Drift
DEF-0000018,BCH-0016088,PRT-0078107,Dimensional Error,Critical,2023-03-29 09:57:13,Visual Inspection,True,141.18,Operator Error
DEF-0000019,BCH-0037391,PRT-0092750,Calibration Drift,Minor,2024-07-04 18:46:04,Automated Vision,True,296.37,Operator Error
DEF-0000020,BCH-0000121,PRT-0020177,Material Defect,Major,2024-08-06 09:16:43,Ultrasonic,False,163.38,Supplier Material
DEF-0000021,BCH-0007898,PRT-0039013,Weld Failure,Critical,2023-01-31 20:50:14,Visual Inspection,True,105.36,Machine Wear
DEF-0000022,BCH-0014758,PRT-0086098,Dimensional Error,Minor,2023-05-26 18:05:00,Visual Inspection,False,67.88,Supplier Material
DEF-0000023,BCH-0045544,PRT-0069627,Material Defect,Minor,2024-05-09 10:23:54,Automated Vision,True,149.79,Machine Wear
DEF-0000024,BCH-0046750,PRT-0065380,Weld Failure,Minor,2024-06-10 23:36:28,Automated Vision,False,384.85,Supplier Material
DEF-0000025,BCH-0042414,PRT-0058972,Weld Failure,Minor,2022-08-17 19:44:09,Visual Inspection,True,157.3,Supplier Material
DEF-0000026,BCH-0051486,PRT-0053232,Dimensional Error,Major,2024-05-20 09:01:58,CMM,False,13.57,Environmental
DEF-0000027,BCH-0091186,PRT-0052814,Surface Crack,Minor,2023-02-06 14:22:54,Automated Vision,True,158.98,Machine Wear
DEF-0000028,BCH-0010350,PRT-0072937,Calibration Drift,Major,2022-04-15 18:07:36,Visual Inspection,True,201.74,Process Drift
DEF-0000029,BCH-0010293,PRT-0023904,Material Defect,Critical,2024-04-22 11:46:49,X-Ray,False,228.91,Environmental
DEF-0000030,BCH-0059765,PRT-0048800,Calibration Drift,Major,2024-12-15 12:32:21,X-Ray,True,67.96,Environmental
DEF-0000031,BCH-0005153,PRT-0084581,Dimensional Error,Minor,2024-03-07 05:35:50,Automated Vision,False,131.17,Machine Wear
DEF-0000032,BCH-0058036,PRT-0037586,Material Defect,Minor,2023-04-25 08:19:01,Visual Inspection,True,61.39,Process Drift
DEF-0000033,BCH-0048585,PRT-0098541,Assembly Fault,Minor,2024-03-09 11:26:28,Visual Inspection,False,46.69,Operator Error
DEF-0000034,BCH-0030873,PRT-0008066,Assembly Fault,Major,2023-08-16 14:35:12,Automated Vision,False,190.67,Machine Wear
DEF-0000035,BCH-0066590,PRT-0012536,Dimensional Error,Minor,2023-08-06 12:32:33,X-Ray,False,224.12,Machine Wear
DEF-0000036,BCH-0036147,PRT-0080007,Dimensional Error,Major,2024-02-17 15:38:06,CMM,True,8.06,Operator Error
DEF-0000037,BCH-0071961,PRT-0068642,Dimensional Error,Minor,2024-12-23 06:42:58,Automated Vision,False,42.19,Machine Wear
DEF-0000038,BCH-0097297,PRT-0061029,Assembly Fault,Minor,2023-06-09 19:23:01,Visual Inspection,True,29.69,Machine Wear
DEF-0000039,BCH-0029542,PRT-0022040,Material Defect,Minor,2022-04-12 07:51:18,Visual Inspection,False,435.98,Operator Error
DEF-0000040,BCH-0075689,PRT-0035061,Surface Crack,Major,2023-05-10 12:48:12,Visual Inspection,True,28.67,Environmental
DEF-0000041,BCH-0072580,PRT-0007332,Material Defect,Major,2024-08-18 23:30:00,CMM,False,113.84,Environmental
DEF-0000042,BCH-0058258,PRT-0056571,Surface Crack,Major,2022-10-18 02:49:21,Ultrasonic,False,55.87,Environmental
DEF-0000043,BCH-0081179,PRT-0002995,Surface Crack,Minor,2022-03-27 22:13:48,CMM,True,115.69,Machine Wear
DEF-0000044,BCH-0034693,PRT-0066505,Material Defect,Minor,2023-05-18 21:40:00,Automated Vision,True,25.39,Machine Wear
DEF-0000045,BCH-0082781,PRT-0044049,Calibration Drift,Major,2023-08-04 14:51:12,CMM,False,52.3,Supplier Material
DEF-0000046,BCH-0080794,PRT-0039422,Weld Failure,Minor,2022-10-21 03:18:32,X-Ray,False,53.4,Machine Wear
DEF-0000047,BCH-0048521,PRT-0007532,Dimensional Error,Major,2023-07-15 06:03:16,CMM,False,23.09,Operator Error
DEF-0000048,BCH-0053057,PRT-0056429,Dimensional Error,Major,2024-01-13 12:55:01,Automated Vision,True,266.91,Supplier Material
DEF-0000049,BCH-0035125,PRT-0002501,Material Defect,Minor,2022-05-24 01:23:13,Visual Inspection,False,74.23,Process Drift
DEF-0000050,BCH-0084281,PRT-0067754,Assembly Fault,Major,2024-04-12 22:59:39,X-Ray,True,8.53,Process Drift
DEF-0000051,BCH-0046614,PRT-0052216,Assembly Fault,Minor,2023-02-12 14:48:09,Visual Inspection,True,219.57,Process Drift
DEF-0000052,BCH-0068653,PRT-0034951,Surface Crack,Major,2024-12-17 10:08:16,Visual Inspection,True,115.79,Machine Wear
DEF-0000053,BCH-0041357,PRT-0084174,Material Defect,Minor,2024-08-09 21:15:59,Ultrasonic,False,111.74,Machine Wear
DEF-0000054,BCH-0005064,PRT-0038815,Dimensional Error,Major,2022-01-26 04:28:58,X-Ray,True,265.64,Operator Error
DEF-0000055,BCH-0070382,PRT-0062238,Surface Crack,Major,2023-04-10 03:40:12,X-Ray,False,65.94,Operator Error
DEF-0000056,BCH-0020626,PRT-0045798,Weld Failure,Critical,2023-09-06 06:23:59,Automated Vision,False,146.31,Machine Wear
DEF-0000057,BCH-0027784,PRT-0031674,Weld Failure,Minor,2024-12-21 06:59:17,X-Ray,False,83.63,Process Drift
DEF-0000058,BCH-0039175,PRT-0001025,Material Defect,Major,2022-01-03 01:04:47,Automated Vision,True,32.92,Supplier Material
DEF-0000059,BCH-0067797,PRT-0013853,Assembly Fault,Major,2023-03-18 15:43:55,Ultrasonic,True,20.9,Supplier Material
DEF-0000060,BCH-0031749,PRT-0049214,Surface Crack,Major,2022-08-19 12:28:08,Automated Vision,False,10.42,Supplier Material
DEF-0000061,BCH-0048846,PRT-0094906,Assembly Fault,Minor,2022-10-20 15:19:53,Ultrasonic,False,115.89,Machine Wear
DEF-0000062,BCH-0097380,PRT-0082965,Material Defect,Minor,2022-05-30 14:53:36,CMM,False,177.19,Process Drift
DEF-0000063,BCH-0003370,PRT-0001489,Dimensional Error,Critical,2022-07-15 08:12:26,X-Ray,True,122.98,Process Drift
DEF-0000064,BCH-0071943,PRT-0017834,Dimensional Error,Major,2023-11-18 16:29:25,X-Ray,False,250.15,Supplier Material
DEF-0000065,BCH-0074964,PRT-0030779,Assembly Fault,Major,2023-08-18 10:15:27,Automated Vision,True,89.37,Machine Wear
DEF-0000066,BCH-0004012,PRT-0002930,Weld Failure,Critical,2023-02-04 09:26:22,Automated Vision,False,128.2,Operator Error
DEF-0000067,BCH-0002373,PRT-0044433,Dimensional Error,Minor,2023-06-15 12:29:30,Ultrasonic,False,84.07,Machine Wear
DEF-0000068,BCH-0082941,PRT-0023900,Assembly Fault,Major,2022-04-17 23:06:00,Ultrasonic,False,12.61,Supplier Material
DEF-0000069,BCH-0009603,PRT-0020374,Surface Crack,Major,2022-01-05 14:30:19,Ultrasonic,False,25.94,Process Drift
DEF-0000070,BCH-0071198,PRT-0026524,Dimensional Error,Critical,2023-09-28 21:41:39,CMM,False,0.64,Supplier Material
DEF-0000071,BCH-0049019,PRT-0090510,Surface Crack,Major,2024-05-01 05:31:34,Ultrasonic,False,90.07,Supplier Material
DEF-0000072,BCH-0006251,PRT-0018318,Dimensional Error,Critical,2024-03-25 00:00:39,Ultrasonic,False,45.01,Machine Wear
DEF-0000073,BCH-0001430,PRT-0005049,Weld Failure,Critical,2024-03-31 03:26:34,X-Ray,True,18.05,Machine Wear
DEF-0000074,BCH-0054267,PRT-0012674,Calibration Drift,Major,2023-01-21 04:11:34,X-Ray,True,7.5,Machine Wear
DEF-0000075,BCH-0034740,PRT-0019340,Weld Failure,Minor,2023-12-14 11:43:50,CMM,True,60.99,Machine Wear
DEF-0000076,BCH-0034630,PRT-0075932,Dimensional Error,Minor,2023-10-04 12:09:00,X-Ray,True,213.48,Supplier Material
DEF-0000077,BCH-0003133,PRT-0011314,Assembly Fault,Minor,2023-06-06 10:55:24,Automated Vision,True,14.09,Process Drift
DEF-0000078,BCH-0069939,PRT-0083231,Material Defect,Major,2024-03-21 05:43:20,Automated Vision,True,12.46,Machine Wear
DEF-0000079,BCH-0049745,PRT-0085525,Assembly Fault,Minor,2023-11-07 08:20:13,Visual Inspection,False,32.64,Machine Wear
DEF-0000080,BCH-0028816,PRT-0005368,Surface Crack,Minor,2022-10-19 03:46:26,X-Ray,True,176.34,Operator Error
DEF-0000081,BCH-0085394,PRT-0024064,Assembly Fault,Major,2024-04-21 20:18:57,Automated Vision,True,49.08,Process Drift
DEF-0000082,BCH-0065788,PRT-0064424,Material Defect,Critical,2022-08-19 12:39:29,Automated Vision,False,97.72,Process Drift
DEF-0000083,BCH-0093338,PRT-0090337,Surface Crack,Major,2022-04-25 09:21:09,Visual Inspection,True,96.43,Machine Wear
DEF-0000084,BCH-0022281,PRT-0049453,Surface Crack,Major,2022-12-11 21:47:13,X-Ray,True,207.11,Operator Error
DEF-0000085,BCH-0092794,PRT-0087068,Dimensional Error,Minor,2023-09-09 17:35:23,Visual Inspection,False,104.0,Environmental
DEF-0000086,BCH-0092515,PRT-0093646,Dimensional Error,Minor,2023-07-10 07:23:52,Ultrasonic,False,16.85,Machine Wear
DEF-0000087,BCH-0051599,PRT-0062778,Assembly Fault,Major,2024-12-19 19:46:32,Automated Vision,True,47.4,Machine Wear
DEF-0000088,BCH-0086193,PRT-0004884,Dimensional Error,Minor,2023-02-02 19:49:02,Ultrasonic,True,163.03,Operator Error
DEF-0000089,BCH-0078725,PRT-0095337,Material Defect,Major,2024-10-08 22:03:33,Automated Vision,True,110.38,Environmental
DEF-0000090,BCH-0006328,PRT-0031480,Dimensional Error,Major,2023-05-03 09:45:53,CMM,False,127.56,Operator Error
DEF-0000091,BCH-0022802,PRT-0093022,Weld Failure,Minor,2024-03-13 02:17:42,CMM,False,78.02,Process Drift
DEF-0000092,BCH-0073308,PRT-0096207,Dimensional Error,Major,2022-11-01 23:21:44,Automated Vision,False,114.51,Process Drift
DEF-0000093,BCH-0064319,PRT-0075809,Calibration Drift,Major,2023-11-03 09:27:02,Automated Vision,True,6.14,Supplier Material
DEF-0000094,BCH-0003719,PRT-0077800,Calibration Drift,Minor,2023-10-22 09:27:43,Visual Inspection,False,33.53,Machine Wear
DEF-0000095,BCH-0010949,PRT-0087737,Dimensional Error,Minor,2022-12-12 03:29:16,Ultrasonic,True,227.71,Operator Error
DEF-0000096,BCH-0008445,PRT-0061773,Dimensional Error,Critical,2023-09-03 22:31:39,X-Ray,True,217.9,Supplier Material
DEF-0000097,BCH-0017425,PRT-0066014,Calibration Drift,Minor,2023-12-25 17:24:21,CMM,True,190.44,Supplier Material
DEF-0000098,BCH-0029374,PRT-0096337,Surface Crack,Major,2024-03-29 11:20:41,Ultrasonic,True,5.73,Process Drift
DEF-0000099,BCH-0069217,PRT-0084328,Weld Failure,Minor,2022-06-17 21:03:39,CMM,True,108.5,Operator Error
DEF-0000100,BCH-0030050,PRT-0030451,Assembly Fault,Major,2022-02-26 18:13:35,CMM,True,58.71,Supplier Material
DEF-0000101,BCH-0027072,PRT-0030102,Assembly Fault,Major,2023-10-13 05:42:56,CMM,True,108.13,Process Drift
DEF-0000102,BCH-0037710,PRT-0093786,Material Defect,Major,2024-04-03 22:12:08,CMM,True,76.06,Supplier Material
DEF-0000103,BCH-0014660,PRT-0094448,Assembly Fault,Minor,2024-09-11 19:26:11,X-Ray,True,18.1,Environmental
DEF-0000104,BCH-0048003,PRT-0055274,Calibration Drift,Major,2024-10-09 19:11:14,X-Ray,True,74.41,Environmental
DEF-0000105,BCH-0004074,PRT-0093914,Dimensional Error,Minor,2022-05-05 14:41:55,X-Ray,True,131.7,Process Drift
DEF-0000106,BCH-0072767,PRT-0024465,Calibration Drift,Critical,2022-10-24 15:28:10,Ultrasonic,True,97.9,Supplier Material
DEF-0000107,BCH-0084304,PRT-0053012,Dimensional Error,Critical,2023-05-01 22:54:55,CMM,False,145.21,Machine Wear
DEF-0000108,BCH-0023641,PRT-0049061,Material Defect,Minor,2023-10-16 13:14:14,CMM,True,128.21,Machine Wear
DEF-0000109,BCH-0082851,PRT-0059663,Assembly Fault,Minor,2022-02-22 10:34:20,CMM,False,223.11,Operator Error
DEF-0000110,BCH-0037925,PRT-0047985,Assembly Fault,Minor,2022-03-09 00:31:32,Visual Inspection,False,220.76,Process Drift
DEF-0000111,BCH-0012104,PRT-0064596,Assembly Fault,Major,2023-10-07 15:17:48,Visual Inspection,False,31.63,Operator Error
DEF-0000112,BCH-0068486,PRT-0089654,Weld Failure,Major,2023-12-02 06:08:06,X-Ray,True,45.52,Supplier Material
DEF-0000113,BCH-0041006,PRT-0030929,Assembly Fault,Minor,2023-03-04 11:52:52,Ultrasonic,True,172.54,Machine Wear
DEF-0000114,BCH-0079451,PRT-0089608,Surface Crack,Critical,2024-11-21 11:31:38,X-Ray,True,37.85,Machine Wear
DEF-0000115,BCH-0095632,PRT-0010281,Dimensional Error,Critical,2022-12-08 21:14:30,Ultrasonic,False,38.18,Operator Error
DEF-0000116,BCH-0098260,PRT-0075163,Surface Crack,Minor,2024-04-29 14:03:46,X-Ray,False,107.27,Supplier Material
DEF-0000117,BCH-0091224,PRT-0065300,Calibration Drift,Minor,2023-01-31 23:55:57,Visual Inspection,True,18.96,Supplier Material
DEF-0000118,BCH-0094281,PRT-0014378,Dimensional Error,Minor,2022-05-22 22:43:16,CMM,False,470.19,Supplier Material
DEF-0000119,BCH-0076118,PRT-0074292,Surface Crack,Minor,2024-01-18 14:33:11,CMM,True,16.87,Process Drift
DEF-0000120,BCH-0066991,PRT-0006935,Weld Failure,Major,2022-02-22 19:51:34,Visual Inspection,False,18.37,Supplier Material
DEF-0000121,BCH-0012999,PRT-0072282,Assembly Fault,Minor,2024-08-10 09:06:39,X-Ray,True,91.25,Operator Error
DEF-0000122,BCH-0055758,PRT-0099763,Assembly Fault,Minor,2022-09-20 14:01:49,CMM,False,565.67,Machine Wear
DEF-0000123,BCH-0090746,PRT-0074027,Dimensional Error,Minor,2024-11-11 02:39:17,CMM,True,7.94,Machine Wear
DEF-0000124,BCH-0091798,PRT-0093470,Calibration Drift,Critical,2024-02-18 12:30:16,Automated Vision,False,217.91,Machine Wear
DEF-0000125,BCH-0043583,PRT-0066033,Surface Crack,Major,2024-11-30 03:45:31,Automated Vision,False,139.61,Supplier Material
DEF-0000126,BCH-0068590,PRT-0097158,Assembly Fault,Major,2023-05-26 01:28:15,Visual Inspection,True,174.8,Machine Wear
DEF-0000127,BCH-0020424,PRT-0058645,Surface Crack,Minor,2023-08-29 19:42:50,X-Ray,False,127.82,Process Drift
DEF-0000128,BCH-0003017,PRT-0056860,Dimensional Error,Minor,2023-03-31 12:22:57,Ultrasonic,True,94.12,Machine Wear
DEF-0000129,BCH-0056017,PRT-0046193,Assembly Fault,Major,2024-08-29 18:34:08,Automated Vision,True,116.37,Machine Wear
DEF-0000130,BCH-0041554,PRT-0062783,Weld Failure,Major,2023-05-14 13:07:40,X-Ray,False,167.21,Operator Error
DEF-0000131,BCH-0048289,PRT-0010603,Dimensional Error,Minor,2023-08-27 17:27:45,Ultrasonic,False,228.1,Machine Wear
DEF-0000132,BCH-0085826,PRT-0037004,Weld Failure,Critical,2022-08-23 08:25:10,Visual Inspection,True,15.04,Operator Error
DEF-0000133,BCH-0037571,PRT-0046645,Material Defect,Minor,2023-09-11 21:59:12,Visual Inspection,True,164.48,Machine Wear
DEF-0000134,BCH-0055992,PRT-0081400,Weld Failure,Major,2023-01-14 17:12:06,CMM,True,68.09,Machine Wear
DEF-0000135,BCH-0061913,PRT-0035063,Dimensional Error,Minor,2022-05-08 17:20:52,Visual Inspection,False,167.15,Supplier Material
DEF-0000136,BCH-0008889,PRT-0030592,Weld Failure,Minor,2023-01-26 18:27:31,Visual Inspection,False,30.5,Process Drift
DEF-0000137,BCH-0014841,PRT-0066369,Dimensional Error,Minor,2024-01-12 21:54:28,X-Ray,False,93.41,Machine Wear
DEF-0000138,BCH-0043649,PRT-0037736,Surface Crack,Major,2023-08-17 16:28:05,Ultrasonic,False,52.82,Machine Wear
DEF-0000139,BCH-0058727,PRT-0022992,Calibration Drift,Major,2024-04-29 04:39:27,Automated Vision,True,9.65,Operator Error
DEF-0000140,BCH-0006675,PRT-0045627,Weld Failure,Minor,2022-06-04 21:50:17,X-Ray,True,179.77,Machine Wear
DEF-0000141,BCH-0091731,PRT-0058719,Assembly Fault,Minor,2022-12-10 10:57:03,Automated Vision,False,81.93,Operator Error
DEF-0000142,BCH-0095095,PRT-0057750,Dimensional Error,Minor,2023-12-27 04:09:51,CMM,True,9.22,Machine Wear
DEF-0000143,BCH-0025950,PRT-0081139,Dimensional Error,Major,2022-03-16 03:33:34,X-Ray,True,7.07,Machine Wear
DEF-0000144,BCH-0063713,PRT-0019347,Assembly Fault,Minor,2022-06-26 07:34:06,Visual Inspection,False,300.19,Operator Error
DEF-0000145,BCH-0039524,PRT-0063573,Dimensional Error,Minor,2024-04-05 22:14:55,Automated Vision,True,20.74,Supplier Material
DEF-0000146,BCH-0005748,PRT-0094262,Weld Failure,Major,2022-06-15 11:42:30,Automated Vision,True,276.01,Operator Error
DEF-0000147,BCH-0010710,PRT-0032053,Dimensional Error,Minor,2023-04-18 10:43:30,Ultrasonic,True,38.38,Machine Wear
DEF-0000148,BCH-0069353,PRT-0060320,Surface Crack,Minor,2022-12-29 05:51:55,Ultrasonic,True,52.22,Supplier Material
DEF-0000149,BCH-0082409,PRT-0009165,Surface Crack,Major,2023-03-25 14:23:11,Ultrasonic,False,302.79,Machine Wear
DEF-0000150,BCH-0004445,PRT-0052366,Surface Crack,Major,2024-10-21 18:17:22,Automated Vision,False,31.08,Operator Error
DEF-0000151,BCH-0071934,PRT-0091750,Dimensional Error,Major,2023-11-10 09:41:35,CMM,True,265.02,Process Drift
DEF-0000152,BCH-0006776,PRT-0060588,Weld Failure,Minor,2022-01-20 18:17:55,X-Ray,False,247.22,Machine Wear
DEF-0000153,BCH-0081906,PRT-0091371,Surface Crack,Minor,2024-11-27 23:03:06,Automated Vision,True,87.7,Supplier Material
DEF-0000154,BCH-0062989,PRT-0025857,Surface Crack,Major,2023-07-09 06:13:30,X-Ray,True,0.53,Machine Wear
DEF-0000155,BCH-0085858,PRT-0008893,Assembly Fault,Major,2022-09-07 18:03:44,CMM,False,164.81,Process Drift
DEF-0000156,BCH-0013251,PRT-0036316,Surface Crack,Minor,2024-06-29 18:48:25,Visual Inspection,True,236.76,Supplier Material
DEF-0000157,BCH-0033842,PRT-0082013,Surface Crack,Minor,2023-08-12 22:11:36,Visual Inspection,True,16.38,Supplier Material
DEF-0000158,BCH-0052385,PRT-0014505,Material Defect,Minor,2024-10-24 21:06:39,Visual Inspection,True,187.17,Process Drift
DEF-0000159,BCH-0088146,PRT-0037802,Surface Crack,Minor,2022-08-07 06:21:18,Visual Inspection,True,14.14,Supplier Material
DEF-0000160,BCH-0092005,PRT-0092952,Dimensional Error,Major,2023-02-21 11:08:52,Visual Inspection,False,37.27,Operator Error
DEF-0000161,BCH-0053996,PRT-0007761,Surface Crack,Minor,2024-07-10 13:12:16,CMM,False,27.33,Supplier Material
DEF-0000162,BCH-0086845,PRT-0080765,Surface Crack,Minor,2024-09-30 10:55:44,Ultrasonic,False,132.37,Supplier Material
DEF-0000163,BCH-0078476,PRT-0024064,Calibration Drift,Major,2023-02-01 10:43:40,Automated Vision,False,120.29,Machine Wear
DEF-0000164,BCH-0056416,PRT-0044144,Dimensional Error,Minor,2024-10-14 11:33:16,Automated Vision,True,101.68,Operator Error
DEF-0000165,BCH-0014115,PRT-0043949,Surface Crack,Minor,2022-01-05 12:09:24,Ultrasonic,False,138.58,Process Drift
DEF-0000166,BCH-0023926,PRT-0030466,Dimensional Error,Minor,2023-10-23 10:57:24,Ultrasonic,True,15.98,Operator Error
DEF-0000167,BCH-0042641,PRT-0065540,Assembly Fault,Minor,2024-09-17 04:25:42,Ultrasonic,True,99.97,Machine Wear
DEF-0000168,BCH-0098398,PRT-0092684,Assembly Fault,Minor,2023-04-06 23:29:29,Ultrasonic,False,130.81,Process Drift
DEF-0000169,BCH-0093311,PRT-0037418,Weld Failure,Minor,2022-01-10 18:47:02,CMM,True,143.26,Machine Wear
DEF-0000170,BCH-0018035,PRT-0070919,Surface Crack,Minor,2022-05-11 02:53:09,Visual Inspection,False,49.15,Machine Wear
DEF-0000171,BCH-0028532,PRT-0054423,Weld Failure,Minor,2023-12-09 19:56:21,CMM,True,12.51,Operator Error
DEF-0000172,BCH-0020479,PRT-0030500,Weld Failure,Major,2022-08-08 09:56:51,CMM,False,328.73,Supplier Material
DEF-0000173,BCH-0000107,PRT-0076770,Surface Crack,Minor,2023-09-28 14:04:08,CMM,True,46.92,Machine Wear
DEF-0000174,BCH-0029795,PRT-0037008,Assembly Fault,Critical,2023-11-18 20:39:13,Ultrasonic,True,155.4,Supplier Material
DEF-0000175,BCH-0084130,PRT-0094861,Surface Crack,Critical,2022-10-04 16:31:37,CMM,False,137.63,Supplier Material
DEF-0000176,BCH-0094434,PRT-0032233,Material Defect,Critical,2024-04-26 18:24:31,X-Ray,False,108.25,Process Drift
DEF-0000177,BCH-0099477,PRT-0025886,Dimensional Error,Major,2024-02-25 11:28:05,X-Ray,False,3.96,Machine Wear
DEF-0000178,BCH-0051988,PRT-0041553,Calibration Drift,Minor,2022-06-20 16:11:30,X-Ray,False,35.78,Environmental
DEF-0000179,BCH-0056695,PRT-0009995,Material Defect,Minor,2023-12-20 00:16:09,X-Ray,False,23.3,Supplier Material
DEF-0000180,BCH-0048374,PRT-0072380,Material Defect,Minor,2022-12-21 23:54:35,X-Ray,True,93.81,Environmental
DEF-0000181,BCH-0076199,PRT-0096711,Surface Crack,Minor,2022-12-13 19:19:52,X-Ray,True,59.31,Supplier Material
DEF-0000182,BCH-0004144,PRT-0049696,Surface Crack,Major,2022-05-07 05:32:39,Automated Vision,False,108.79,Operator Error
DEF-0000183,BCH-0006463,PRT-0091686,Weld Failure,Minor,2022-05-17 09:21:24,Ultrasonic,True,107.04,Machine Wear
DEF-0000184,BCH-0022498,PRT-0028157,Material Defect,Critical,2022-08-08 10:38:06,CMM,False,120.83,Supplier Material
DEF-0000185,BCH-0073871,PRT-0033430,Weld Failure,Major,2022-08-05 12:16:56,CMM,False,263.95,Process Drift
DEF-0000186,BCH-0011714,PRT-0029941,Assembly Fault,Minor,2024-01-29 06:09:11,Ultrasonic,True,10.45,Operator Error
DEF-0000187,BCH-0032423,PRT-0039250,Dimensional Error,Major,2024-03-19 07:21:12,Visual Inspection,False,13.52,Supplier Material
DEF-0000188,BCH-0077678,PRT-0004041,Assembly Fault,Minor,2023-11-21 10:39:55,X-Ray,False,15.26,Process Drift
DEF-0000189,BCH-0027207,PRT-0022173,Assembly Fault,Minor,2023-02-26 11:35:46,Ultrasonic,True,133.8,Supplier Material
DEF-0000190,BCH-0086296,PRT-0025472,Assembly Fault,Minor,2023-04-10 18:52:14,X-Ray,False,157.31,Supplier Material
DEF-0000191,BCH-0012057,PRT-0093074,Surface Crack,Minor,2024-07-26 07:02:41,CMM,False,176.05,Environmental
DEF-0000192,BCH-0055632,PRT-0097633,Assembly Fault,Critical,2022-02-22 05:12:12,Visual Inspection,False,386.34,Operator Error
DEF-0000193,BCH-0080979,PRT-0080436,Dimensional Error,Minor,2023-09-18 09:55:24,Visual Inspection,False,84.84,Environmental
DEF-0000194,BCH-0027715,PRT-0017816,Dimensional Error,Major,2024-12-12 01:22:12,Visual Inspection,False,330.69,Machine Wear
DEF-0000195,BCH-0021637,PRT-0066891,Dimensional Error,Major,2024-09-30 23:05:28,Automated Vision,True,501.29,Process Drift
DEF-0000196,BCH-0099172,PRT-0005481,Surface Crack,Minor,2024-03-21 09:56:48,X-Ray,True,16.35,Supplier Material
DEF-0000197,BCH-0036028,PRT-0039707,Assembly Fault,Minor,2022-04-27 08:03:00,Automated Vision,False,102.1,Machine Wear
DEF-0000198,BCH-0025296,PRT-0053803,Material Defect,Minor,2023-01-12 08:50:19,Visual Inspection,True,59.46,Process Drift
DEF-0000199,BCH-0013286,PRT-0029979,Surface Crack,Minor,2024-01-11 00:34:04,Visual Inspection,True,3.41,Process Drift
DEF-0000200,BCH-0074119,PRT-0010056,Dimensional Error,Major,2023-07-12 22:35:21,CMM,True,92.68,Process Drift
DEF-0000201,BCH-0010544,PRT-0034525,Calibration Drift,Minor,2022-01-08 07:54:49,Automated Vision,True,74.6,Process Drift
DEF-0000202,BCH-0095164,PRT-0044759,Dimensional Error,Minor,2024-11-26 10:58:27,X-Ray,True,110.95,Machine Wear
DEF-0000203,BCH-0098200,PRT-0093259,Calibration Drift,Minor,2024-07-03 10:13:12,X-Ray,False,116.3,Process Drift
DEF-0000204,BCH-0020661,PRT-0078437,Calibration Drift,Minor,2023-02-07 00:12:19,Ultrasonic,False,40.13,Operator Error
DEF-0000205,BCH-0044732,PRT-0037492,Surface Crack,Major,2024-02-02 14:31:33,Ultrasonic,True,373.86,Machine Wear
DEF-0000206,BCH-0026073,PRT-0060839,Calibration Drift,Critical,2022-06-04 22:24:23,X-Ray,False,30.49,Process Drift
